contrast,position,estimate,SE,df,t.ratio,p.value
inhale - exhale,left,-0.0014246804867340535,0.005833497977828253,28,-0.24422404741527762,0.8088380665993341
inhale - exhale,right,-0.002743401681722657,0.0063582624095574695,28,-0.4314703459861758,0.6694304866932551
