contrast,position,estimate,SE,df,t.ratio,p.value
inhale - exhale,up,-0.011526550902310806,0.005803386423268857,28,-1.9861767012609644,0.05688197751004579
inhale - exhale,down,-0.004286596285043576,0.0066618682207355605,28,-0.6434525786176956,0.5251659467293912
