contrast,phase,estimate,SE,df,t.ratio,p.value
left - right,inhale,8.032470236696843e-4,0.005909126653410573,28,0.1359332894322165,0.8928466181584791
left - right,exhale,-5.154741713189193e-4,0.006241616888503285,28,-0.08258664069375907,0.9347678016686206
