"participant_ID","position","trial","phase","response","rt"
"P138","down",0,"inhale","correct",0.355709300001763
"P138","left",1,"exhale","correct",0.332797499999288
"P138","catch",2,"inhale","correct",NA
"P138","left",3,"exhale","correct",0.338533900001494
"P138","left",4,"inhale","correct",0.393364400002611
"P138","left",5,"exhale","correct",0.36320859999978
"P138","right",6,"inhale","correct",0.34333880000122
"P138","right",7,"exhale","correct",0.422559200000251
"P138","down",8,"inhale","correct",0.483259999997244
"P138","down",9,"exhale","correct",0.370694400000502
"P138","down",10,"inhale","correct",0.329992200000561
"P138","down",11,"exhale","correct",0.352622399997927
"P138","left",12,"inhale","correct",0.303495700001804
"P138","left",13,"exhale","correct",0.319315499997174
"P138","down",14,"inhale","correct",0.346068800001376
"P138","catch",15,"exhale","correct",NA
"P138","right",16,"inhale","correct",0.343441100001655
"P138","left",17,"exhale","correct",0.283661500001472
"P138","catch",18,"inhale","correct",NA
"P138","catch",19,"exhale","correct",NA
"P138","right",20,"inhale","correct",0.345690199999808
"P138","left",21,"exhale","correct",0.362471799999184
"P138","left",22,"inhale","correct",0.329980699996668
"P138","catch",23,"exhale","correct",NA
"P138","catch",24,"inhale","correct",NA
"P138","right",25,"exhale","correct",0.422402500000317
"P138","up",26,"inhale","correct",0.3735130999994
"P138","down",27,"exhale","correct",0.386894900002517
"P138","left",28,"inhale","correct",0.380534399999306
"P138","left",29,"exhale","correct",0.286875099998724
"P138","catch",30,"inhale","correct",NA
"P138","left",31,"exhale","correct",0.323513200000889
"P138","up",32,"inhale","correct",0.420509200001106
"P138","left",33,"exhale","correct",0.268985300001077
"P138","catch",34,"inhale","correct",NA
"P138","up",35,"exhale","correct",0.55458980000185
"P138","up",36,"inhale","correct",0.42381199999727
"P138","down",37,"exhale","correct",0.33756540000104
"P138","right",38,"inhale","correct",0.385064900001453
"P138","right",39,"exhale","correct",0.317522100001952
"P138","down",40,"inhale","correct",0.335019400001329
"P138","catch",41,"exhale","correct",NA
"P138","down",42,"inhale","correct",0.360496000001149
"P138","down",43,"exhale","correct",0.379202299998724
"P138","right",44,"inhale","correct",0.397983399998338
"P138","catch",45,"exhale","correct",NA
"P138","left",46,"inhale","correct",0.425918100001581
"P138","down",47,"exhale","correct",0.363622900000337
"P138","down",48,"inhale","correct",0.288499700000102
"P138","down",49,"exhale","correct",0.281597499997588
"P138","up",50,"inhale","correct",0.267378599997755
"P138","up",51,"exhale","correct",0.284997700000531
"P138","up",52,"inhale","correct",0.349586699998326
"P138","right",53,"exhale","correct",0.389620799996919
"P138","up",54,"inhale","correct",0.361921299998357
"P138","right",55,"exhale","correct",0.361488299997291
"P138","left",56,"inhale","correct",0.365997099997912
"P138","right",57,"exhale","correct",0.320542999997997
"P138","catch",58,"inhale","correct",NA
"P138","catch",59,"exhale","correct",NA
"P138","down",60,"inhale","correct",0.423894100000325
"P138","left",0,"inhale","correct",0.366513799999666
"P138","up",1,"exhale","correct",0.357947500000591
"P138","catch",2,"inhale","correct",NA
"P138","left",3,"exhale","correct",0.350641900000483
"P138","left",4,"inhale","correct",0.278972700001759
"P138","catch",5,"exhale","correct",NA
"P138","right",6,"inhale","correct",0.382412300001306
"P138","right",7,"exhale","correct",0.395575099999405
"P138","up",8,"inhale","correct",0.352355200000602
"P138","up",9,"exhale","correct",0.459734800002479
"P138","catch",10,"inhale","correct",NA
"P138","right",11,"exhale","correct",0.288065699998697
"P138","left",12,"inhale","correct",0.337034799998946
"P138","right",13,"exhale","correct",0.320407700000942
"P138","down",14,"inhale","correct",0.347690200000216
"P138","catch",15,"exhale","correct",NA
"P138","left",16,"inhale","correct",0.383831099999952
"P138","up",17,"exhale","correct",0.38967749999938
"P138","down",18,"inhale","correct",0.37594430000172
"P138","up",19,"exhale","correct",0.382081799998559
"P138","up",20,"inhale","correct",0.340922499999579
"P138","left",21,"exhale","correct",0.32492380000258
"P138","down",22,"inhale","correct",0.445167000001675
"P138","left",23,"exhale","correct",0.394233700000768
"P138","catch",24,"inhale","correct",NA
"P138","up",25,"exhale","correct",0.336716899997555
"P138","up",26,"inhale","correct",0.364262899998721
"P138","catch",27,"exhale","correct",NA
"P138","left",28,"inhale","correct",0.342105900002935
