"participant_ID","position","trial","phase","response","rt"
"P128","down",0,"exhale","correct",0.297166600001219
"P128","right",1,"inhale","correct",0.37898800000039
"P128","up",2,"exhale","correct",0.289997899999435
"P128","up",3,"inhale","correct",0.578851700000087
"P128","down",4,"exhale","correct",0.239254300002358
"P128","left",5,"inhale","correct",0.254699299999629
"P128","left",6,"exhale","correct",0.266637400000036
"P128","catch",7,"inhale","correct",NA
"P128","down",8,"exhale","correct",0.347368200000346
"P128","right",9,"inhale","correct",0.378623600001447
"P128","left",10,"exhale","correct",0.409151399999246
"P128","right",11,"inhale","correct",0.384068800001842
"P128","catch",12,"exhale","correct",NA
"P128","up",13,"inhale","correct",0.356289900002594
"P128","catch",14,"exhale","correct",NA
"P128","down",15,"inhale","correct",0.385022700000263
"P128","left",16,"exhale","correct",0.37789150000026
"P128","right",17,"inhale","correct",0.384417799999937
"P128","down",18,"exhale","correct",0.353079100001196
"P128","catch",19,"inhale","correct",NA
"P128","right",20,"exhale","correct",0.354427199999918
"P128","left",21,"inhale","correct",0.331561200000579
"P128","right",22,"exhale","correct",0.264797899999394
"P128","up",23,"inhale","correct",0.311953299999004
"P128","right",24,"exhale","correct",0.250915699998586
"P128","up",25,"inhale","correct",0.236455400001432
"P128","catch",26,"exhale","correct",NA
"P128","catch",27,"exhale","correct",NA
"P128","left",28,"inhale","correct",0.313291099999333
"P128","up",29,"exhale","correct",0.279760100002022
"P128","catch",30,"inhale","correct",NA
"P128","up",31,"exhale","correct",0.271484000000783
"P128","up",32,"inhale","correct",0.364413600000262
"P128","catch",33,"exhale","correct",NA
"P128","left",34,"inhale","correct",0.325366299999587
"P128","down",35,"exhale","correct",0.268851099997846
"P128","down",36,"inhale","correct",0.266915399999561
"P128","catch",37,"exhale","correct",NA
"P128","right",38,"inhale","correct",0.309182300003158
"P128","left",39,"exhale","correct",0.326231499999267
"P128","up",40,"inhale","correct",0.347583099999611
"P128","down",41,"exhale","correct",0.349385600002279
"P128","up",42,"inhale","correct",0.317395200003375
"P128","catch",43,"exhale","correct",NA
"P128","down",44,"exhale","correct",0.261340799999743
"P128","right",45,"inhale","correct",0.402310000001307
"P128","left",46,"exhale","correct",0.2811870000005
"P128","down",47,"inhale","correct",0.277459299999464
"P128","left",48,"exhale","correct",0.277089100000012
"P128","left",49,"inhale","correct",0.385995900000125
"P128","right",50,"exhale","correct",0.286685700000817
"P128","up",51,"inhale","correct",0.271232299997791
"P128","up",52,"exhale","correct",0.250330900002155
"P128","right",53,"inhale","correct",0.448082500002783
"P128","down",54,"exhale","correct",0.30682650000017
"P128","catch",55,"inhale","correct",NA
"P128","up",56,"exhale","correct",0.312244699998701
"P128","right",57,"inhale","correct",0.311098900001525
"P128","down",58,"exhale","correct",0.4825047000013
"P128","down",59,"inhale","correct",0.270804199997656
