"participant_ID","position","trial","phase","response","rt"
"P127","down",0,"exhale","correct",0.342513999999937
"P127","right",1,"inhale","correct",0.322915599997941
"P127","up",2,"exhale","correct",0.344224500000564
"P127","up",3,"inhale","correct",0.359632699997746
"P127","down",4,"exhale","correct",0.357462299998588
"P127","left",5,"inhale","correct",0.456414500000392
"P127","left",6,"exhale","correct",0.32113919999756
"P127","catch",7,"inhale","correct",NA
"P127","down",8,"exhale","correct",0.331290799997078
"P127","right",9,"inhale","correct",0.598155800002132
"P127","left",10,"exhale","correct",0.361104600000544
"P127","right",11,"inhale","correct",0.365956400000869
"P127","catch",12,"exhale","correct",NA
"P127","up",13,"inhale","correct",0.318313600000693
"P127","catch",14,"exhale","correct",NA
"P127","down",15,"inhale","correct",0.378968400000304
"P127","left",16,"exhale","correct",0.332980299997871
"P127","right",17,"inhale","correct",0.3596996999986
"P127","down",18,"exhale","correct",0.526112700001249
"P127","catch",19,"inhale","correct",NA
"P127","right",20,"exhale","correct",0.356524800001353
"P127","left",21,"inhale","correct",0.461903200000961
"P127","right",22,"exhale","correct",0.503395499999897
"P127","up",23,"inhale","correct",0.452356800000416
"P127","right",24,"exhale","correct",0.500320700000884
"P127","up",25,"inhale","correct",0.467772899999545
"P127","catch",26,"exhale","correct",NA
"P127","catch",27,"inhale","correct",NA
"P127","left",28,"exhale","correct",0.413751899999625
"P127","up",29,"inhale","correct",0.463873500000773
"P127","catch",30,"exhale","correct",NA
"P127","up",31,"inhale","correct",0.422565400000167
"P127","up",32,"exhale","correct",0.438533700002154
"P127","catch",33,"inhale","correct",NA
"P127","left",34,"exhale","correct",0.440669200001139
"P127","down",35,"inhale","correct",0.397368499998265
"P127","down",36,"exhale","correct",0.669306899999356
"P127","catch",37,"inhale","correct",NA
"P127","right",38,"exhale","correct",0.450055399996927
"P127","left",39,"inhale","incorrect",NA
"P127","up",40,"exhale","correct",0.375285699999949
"P127","down",41,"inhale","correct",0.582864299998619
"P127","up",42,"exhale","correct",0.423111300002347
"P127","catch",43,"inhale","correct",NA
"P127","down",44,"exhale","correct",0.526873599999817
"P127","right",45,"inhale","correct",0.439219899999443
"P127","left",46,"exhale","correct",0.351878499997838
"P127","down",47,"inhale","correct",0.426341500002309
"P127","left",48,"exhale","correct",0.445413600002212
"P127","left",49,"inhale","correct",0.662196399996901
"P127","right",50,"exhale","correct",0.383556200002204
"P127","up",51,"inhale","correct",0.685809399998107
"P127","up",52,"exhale","correct",0.394322599997395
"P127","right",53,"inhale","incorrect",NA
"P127","down",54,"exhale","correct",0.390285400000721
"P127","catch",55,"inhale","correct",NA
"P127","up",56,"exhale","correct",0.357651700000133
"P127","right",57,"inhale","correct",0.382919300001959
"P127","down",58,"exhale","correct",0.380204500001128
"P127","down",59,"inhale","correct",0.522809800000687
"P127","right",0,"exhale","correct",0.384358399998746
"P127","down",1,"inhale","correct",0.377571199998783
"P127","left",2,"exhale","correct",0.433846099997027
"P127","up",3,"inhale","correct",0.388824199999362
"P127","right",4,"exhale","correct",0.504033600002003
"P127","left",5,"inhale","correct",0.434339599996747
"P127","down",6,"exhale","correct",0.36968429999979
"P127","right",7,"inhale","correct",0.430926400000317
"P127","up",8,"exhale","correct",0.670534999997471
"P127","catch",9,"inhale","correct",NA
"P127","up",10,"exhale","correct",0.39458370000284
"P127","right",11,"inhale","correct",0.420972300002177
"P127","catch",12,"exhale","correct",NA
"P127","down",13,"inhale","correct",0.428904199998215
"P127","up",14,"exhale","correct",0.460642899997765
"P127","left",15,"inhale","correct",0.48159929999747
"P127","up",16,"exhale","correct",0.553244599999744
"P127","up",17,"inhale","correct",0.456481400000484
"P127","left",18,"exhale","correct",0.361876799997845
"P127","left",19,"inhale","correct",0.349183799997263
"P127","catch",20,"exhale","correct",NA
"P127","left",21,"inhale","correct",0.349064400001225
"P127","right",22,"exhale","correct",0.411727400001837
"P127","up",23,"inhale","correct",0.465045900000405
"P127","down",24,"exhale","correct",0.418615799997497
"P127","catch",25,"inhale","correct",NA
"P127","right",26,"exhale","correct",0.508818300000712
"P127","up",27,"inhale","correct",0.387611999998626
"P127","right",28,"exhale","correct",0.442508999996789
"P127","catch",29,"inhale","correct",NA
"P127","left",30,"exhale","correct",0.519871299999068
"P127","up",31,"inhale","correct",0.578898800002207
"P127","catch",32,"exhale","correct",NA
"P127","down",33,"inhale","correct",0.445712799999455
"P127","catch",34,"exhale","correct",NA
"P127","left",35,"inhale","correct",0.398935900000652
"P127","up",36,"exhale","correct",0.37591170000087
"P127","catch",37,"inhale","correct",NA
"P127","catch",38,"exhale","correct",NA
"P127","down",39,"inhale","correct",0.499325000000681
"P127","left",40,"exhale","correct",0.523443699999916
"P127","left",41,"inhale","correct",0.348102500000095
"P127","catch",42,"exhale","correct",NA
"P127","left",43,"inhale","correct",0.454887699997926
"P127","down",44,"exhale","correct",0.495737199998985
"P127","catch",45,"inhale","correct",NA
"P127","right",46,"exhale","correct",0.374950600002194
"P127","left",47,"inhale","correct",0.491809499999363
"P127","up",48,"exhale","correct",0.425839899999119
"P127","down",49,"inhale","correct",0.516224200000579
"P127","right",50,"exhale","correct",0.509909000000334
"P127","right",51,"inhale","correct",0.573551299999963
"P127","catch",52,"exhale","correct",NA
"P127","down",53,"inhale","correct",0.442493999998987
"P127","catch",54,"exhale","correct",NA
"P127","right",55,"inhale","correct",0.488099000001966
"P127","left",56,"exhale","correct",0.812903600002755
"P127","right",57,"inhale","correct",0.376179700000648
"P127","down",58,"exhale","correct",0.406108899998799
"P127","down",59,"inhale","correct",0.507634499997948
