"participant_ID","position","trial","phase","response","rt"
"P124","down",0,"exhale","correct",0.555393999999978
"P124","right",1,"inhale","correct",0.597739699999693
"P124","up",2,"exhale","correct",0.334583300000304
"P124","up",3,"inhale","correct",0.346824600000218
"P124","down",4,"exhale","correct",0.443993400000181
"P124","left",5,"inhale","correct",0.403949000000466
"P124","left",6,"exhale","correct",0.348724299999958
"P124","catch",7,"inhale","correct",NA
"P124","down",8,"exhale","correct",0.198873100000128
"P124","right",9,"inhale","correct",0.455654899999899
"P124","left",10,"exhale","correct",0.417520699999841
"P124","right",11,"inhale","incorrect",NA
"P124","catch",12,"exhale","correct",NA
"P124","up",13,"inhale","correct",0.289314199999353
"P124","catch",14,"exhale","correct",NA
"P124","down",15,"inhale","correct",0.244562700000643
"P124","left",16,"exhale","correct",0.414652700000261
"P124","right",17,"inhale","correct",0.320458799999869
"P124","down",18,"exhale","correct",0.562408899999355
"P124","catch",19,"inhale","correct",NA
"P124","right",20,"exhale","correct",0.360502700000325
"P124","left",21,"inhale","correct",0.567885399999795
"P124","right",22,"exhale","correct",0.48552380000001
"P124","up",23,"inhale","correct",0.451332699999512
"P124","right",24,"exhale","correct",0.245551999999407
"P124","up",25,"inhale","correct",0.266717000000426
"P124","catch",26,"exhale","correct",NA
"P124","catch",27,"inhale","correct",NA
"P124","left",28,"exhale","correct",0.410547399999814
"P124","up",29,"inhale","correct",0.655502399999932
"P124","catch",30,"exhale","correct",NA
"P124","up",31,"inhale","correct",0.248870300000817
"P124","up",32,"exhale","correct",0.37680249999994
"P124","catch",33,"inhale","correct",NA
"P124","left",34,"exhale","correct",0.367362799999682
"P124","down",35,"inhale","correct",0.355667499999981
"P124","down",36,"exhale","correct",0.288882399999238
"P124","catch",37,"inhale","correct",NA
"P124","right",38,"exhale","correct",0.374407000000247
"P124","left",39,"inhale","correct",0.443213599999581
"P124","up",40,"exhale","correct",0.362724900000103
"P124","down",41,"inhale","incorrect",NA
"P124","up",42,"exhale","correct",0.271277199999531
"P124","catch",43,"inhale","correct",NA
"P124","down",44,"exhale","correct",0.415017999999691
"P124","right",45,"inhale","correct",0.510615299999699
"P124","left",46,"exhale","correct",0.269437899999502
"P124","down",47,"inhale","correct",0.371156399999563
"P124","left",48,"exhale","correct",0.361690499999895
"P124","left",49,"inhale","correct",0.488311000000067
"P124","right",50,"exhale","correct",0.389228600000024
"P124","up",51,"inhale","correct",0.358220500000243
"P124","up",52,"exhale","correct",0.360644999999749
"P124","right",53,"inhale","correct",0.76178979999986
"P124","down",54,"exhale","correct",0.377361400000154
"P124","catch",55,"inhale","correct",NA
"P124","up",56,"exhale","correct",0.301371600000493
"P124","right",57,"inhale","correct",0.519136800000524
"P124","down",58,"exhale","correct",0.431235999999444
"P124","down",59,"inhale","correct",0.482573299999785
"P124","right",0,"exhale","correct",0.36722060000011
"P124","down",1,"inhale","correct",0.384860800000752
"P124","left",2,"exhale","correct",0.427365499999723
"P124","up",3,"inhale","correct",0.46167400000013
"P124","right",4,"exhale","correct",0.457042299999557
"P124","left",5,"inhale","correct",0.353961400000117
"P124","down",6,"exhale","correct",0.22818019999977
"P124","right",7,"inhale","correct",0.365816700000323
"P124","up",8,"exhale","correct",0.370066399999814
"P124","catch",9,"inhale","correct",NA
"P124","up",10,"inhale","correct",0.312744199999543
"P124","right",11,"exhale","correct",0.344279399999323
"P124","catch",12,"inhale","correct",NA
"P124","down",13,"exhale","correct",0.275313900000583
"P124","up",14,"inhale","correct",0.322564899999634
"P124","left",15,"exhale","correct",0.333980600000359
"P124","up",16,"inhale","correct",0.308088600000701
"P124","up",17,"exhale","correct",0.32417390000046
"P124","left",18,"inhale","correct",0.36788820000038
"P124","left",19,"exhale","correct",0.31111779999992
"P124","catch",20,"inhale","correct",NA
"P124","left",21,"exhale","correct",0.343640799999775
"P124","right",22,"inhale","correct",0.445690399999876
"P124","up",23,"exhale","correct",0.760831699999471
"P124","down",24,"inhale","correct",0.598186499999429
"P124","catch",25,"exhale","correct",NA
"P124","right",26,"inhale","correct",0.481858999999531
"P124","up",27,"exhale","correct",0.308223600000019
"P124","right",28,"inhale","correct",0.2988734999999
"P124","catch",29,"exhale","correct",NA
"P124","left",30,"inhale","correct",0.462120700000014
"P124","up",31,"exhale","correct",0.402572599999985
"P124","catch",32,"inhale","correct",NA
"P124","down",33,"exhale","correct",0.31864829999995
"P124","catch",34,"inhale","correct",NA
"P124","left",35,"exhale","correct",0.37357030000021
"P124","up",36,"inhale","correct",0.387593899999956
"P124","catch",37,"exhale","correct",NA
"P124","catch",38,"exhale","correct",NA
"P124","down",39,"inhale","correct",0.283794500000113
"P124","left",40,"exhale","correct",0.37465179999981
"P124","left",41,"inhale","correct",0.403855599999588
"P124","catch",42,"exhale","correct",NA
"P124","left",43,"exhale","correct",0.391846800000167
"P124","down",44,"inhale","correct",0.546590599999945
"P124","catch",45,"exhale","correct",NA
"P124","right",46,"inhale","correct",0.334895799999686
"P124","left",47,"exhale","correct",0.343539099999361
"P124","up",48,"inhale","correct",0.390493700000661
"P124","down",49,"exhale","correct",0.316205899999659
"P124","right",50,"inhale","correct",0.37715659999958
"P124","right",51,"exhale","correct",0.587220100000195
"P124","catch",52,"inhale","correct",NA
"P124","down",53,"exhale","correct",0.322337700000389
"P124","catch",54,"inhale","correct",NA
"P124","right",55,"exhale","correct",0.394681199999468
"P124","left",56,"inhale","correct",0.361685799999577
"P124","right",57,"exhale","correct",0.311114199999793
"P124","down",58,"inhale","correct",0.569059099999322
"P124","down",59,"exhale","correct",0.600041100000453
