"participant_ID","position","trial","phase","response","rt"
"P120","down",0,"exhale","correct",0.452551600001243
"P120","right",1,"inhale","correct",0.490447900001527
"P120","up",2,"exhale","correct",0.591260500001226
"P120","up",3,"inhale","correct",0.623856500000329
"P120","down",4,"exhale","correct",0.396484599999894
"P120","left",5,"inhale","correct",0.389395100000911
"P120","left",6,"exhale","correct",0.469323699999222
"P120","catch",7,"inhale","correct",NA
"P120","down",8,"exhale","correct",0.474978199999896
"P120","right",9,"inhale","correct",0.478638799999317
"P120","left",10,"exhale","correct",0.453925199999503
"P120","right",11,"inhale","correct",0.557879199999661
"P120","catch",12,"exhale","correct",NA
"P120","up",13,"inhale","correct",0.607781799999429
"P120","catch",14,"exhale","correct",NA
"P120","down",15,"inhale","correct",0.807176600001185
"P120","left",16,"exhale","correct",0.400022800000443
"P120","right",17,"inhale","correct",0.387521900000138
"P120","down",18,"exhale","correct",0.43673839999974
"P120","catch",19,"inhale","correct",NA
"P120","right",20,"exhale","correct",0.380137600001035
"P120","left",21,"inhale","correct",0.725080300000627
"P120","right",22,"exhale","correct",0.301322400000572
"P120","up",23,"inhale","correct",0.284796899999492
"P120","right",24,"exhale","correct",0.286612899999454
"P120","up",25,"inhale","correct",0.349361500000668
"P120","catch",26,"exhale","correct",NA
"P120","catch",27,"inhale","correct",NA
"P120","left",28,"exhale","correct",0.510339799999201
"P120","up",29,"inhale","correct",0.438375199999427
"P120","catch",30,"exhale","correct",NA
"P120","up",31,"inhale","correct",0.433888300000035
"P120","up",32,"exhale","correct",0.348539399999936
"P120","catch",33,"inhale","correct",NA
"P120","left",34,"exhale","correct",0.399448600001051
"P120","down",35,"inhale","correct",0.500392300000385
"P120","down",36,"exhale","correct",0.417916500000501
"P120","catch",37,"inhale","correct",NA
"P120","right",38,"exhale","correct",0.339681599998585
"P120","left",39,"inhale","correct",0.445722000000387
"P120","up",40,"exhale","correct",0.481877999998687
"P120","down",41,"inhale","correct",0.314060699998663
"P120","up",42,"exhale","correct",0.503740300000572
"P120","catch",43,"inhale","correct",NA
"P120","down",44,"exhale","correct",0.297884400000839
"P120","right",45,"inhale","correct",0.368206500001179
"P120","left",46,"exhale","correct",0.55782360000012
"P120","down",47,"inhale","correct",0.574328000000605
"P120","left",48,"exhale","correct",0.397649399999864
"P120","left",49,"inhale","correct",0.265388600000733
"P120","right",50,"exhale","correct",0.39814959999967
"P120","up",51,"inhale","correct",0.359585299998798
"P120","up",52,"exhale","correct",0.343061700001272
"P120","right",53,"inhale","correct",0.298003300000346
"P120","down",54,"exhale","correct",0.387182700000267
"P120","catch",55,"inhale","correct",NA
"P120","up",56,"exhale","correct",0.365117100000134
"P120","right",57,"inhale","correct",0.450852599999052
"P120","down",58,"exhale","correct",0.313705599999594
"P120","down",59,"inhale","correct",0.405616400001236
"P120","right",0,"exhale","correct",0.376079300000129
"P120","down",1,"inhale","correct",0.431232900000396
"P120","left",2,"exhale","correct",0.342610000001514
"P120","up",3,"inhale","correct",0.276703500001531
"P120","right",4,"exhale","correct",0.346320699998614
"P120","left",5,"inhale","correct",0.395757299998877
"P120","down",6,"exhale","correct",0.509507599999779
"P120","right",7,"inhale","correct",0.323248199998488
"P120","up",8,"exhale","correct",0.333978200000274
"P120","catch",9,"inhale","correct",NA
"P120","up",10,"exhale","correct",0.315300000000207
"P120","right",11,"inhale","correct",0.413265399998636
"P120","catch",12,"exhale","correct",NA
"P120","down",13,"inhale","correct",0.486336799998753
"P120","up",14,"exhale","correct",0.437692699999388
"P120","left",15,"inhale","correct",0.457824799999798
"P120","up",16,"exhale","correct",0.708860400000049
"P120","up",17,"inhale","correct",0.263807000001179
"P120","left",18,"exhale","correct",0.501408300000548
"P120","left",19,"inhale","correct",0.405803900001047
"P120","catch",20,"exhale","correct",NA
"P120","left",21,"inhale","correct",0.433413099999598
"P120","right",22,"exhale","correct",0.377176199999667
"P120","up",23,"inhale","correct",0.340250799999922
"P120","down",24,"exhale","correct",0.327964699999939
"P120","catch",25,"inhale","correct",NA
"P120","right",26,"exhale","correct",0.385556299999735
"P120","up",27,"inhale","correct",0.398409299999912
"P120","right",28,"exhale","correct",0.470792899999651
"P120","catch",29,"inhale","correct",NA
"P120","left",30,"exhale","correct",0.479773200000636
"P120","up",31,"inhale","correct",0.373200399999405
"P120","catch",32,"exhale","correct",NA
"P120","down",33,"inhale","correct",0.3905939999986
"P120","catch",34,"exhale","correct",NA
"P120","left",35,"inhale","correct",0.492725399999472
"P120","up",36,"exhale","correct",0.451087399998869
"P120","catch",37,"inhale","correct",NA
"P120","catch",38,"exhale","correct",NA
"P120","down",39,"inhale","correct",0.415111900001648
"P120","left",40,"exhale","correct",0.413138899999467
"P120","left",41,"inhale","correct",0.410234299997683
"P120","catch",42,"exhale","correct",NA
"P120","left",43,"inhale","correct",0.341674200000853
"P120","down",44,"exhale","correct",0.382913200002804
"P120","catch",45,"inhale","correct",NA
"P120","right",46,"exhale","correct",0.373883299998852
"P120","left",47,"inhale","correct",0.391668299998855
"P120","up",48,"exhale","correct",0.49084479999874
"P120","down",49,"inhale","correct",0.345464599999104
"P120","right",50,"exhale","correct",0.462703299999703
"P120","right",51,"inhale","correct",0.434066199999506
"P120","catch",52,"exhale","correct",NA
"P120","down",53,"inhale","correct",0.406815499998629
"P120","catch",54,"exhale","correct",NA
"P120","right",55,"inhale","correct",0.400714099996549
"P120","left",56,"exhale","correct",0.445603599997412
"P120","right",57,"inhale","correct",0.419362199998432
"P120","down",58,"exhale","correct",0.416168300002028
"P120","down",59,"inhale","correct",0.387422600000718
