participant_ID,target_y,validity,trial,phase,response,rt,Participant
P101,-0.31,valid,47,exhale,correct,0.445511600002646,P101
P101,-0.31,invalid,48,exhale,correct,0.427253899993957,P101
P101,10,catch,49,exhale,correct,NA,P101
P101,-0.31,valid,50,exhale,correct,0.484669599987683,P101
P101,-0.31,valid,51,exhale,correct,0.531724500004202,P101
P101,-0.31,invalid,52,exhale,correct,0.505991199999698,P101
P101,-0.31,valid,53,exhale,correct,0.460195899999235,P101
P101,10,catch,54,exhale,correct,NA,P101
P101,0.31,invalid,55,exhale,correct,0.474210300002596,P101
P101,-0.31,valid,56,exhale,correct,0.496832900011213,P101
P101,0.31,valid,57,exhale,correct,0.388451100006932,P101
P101,-0.31,invalid,58,exhale,correct,0.455705800006399,P101
P101,0.31,invalid,59,exhale,correct,0.443093599998974,P101
P102,10,catch,0,inhale,correct,NA,P102
P102,10,catch,1,inhale,correct,NA,P102
P102,0.31,invalid,2,inhale,correct,0.416334900000948,P102
P102,0.31,invalid,3,inhale,correct,0.351655300008133,P102
P102,-0.31,valid,4,inhale,correct,0.330014899998787,P102
P102,-0.31,invalid,5,inhale,correct,0.415338299993891,P102
P102,0.31,valid,6,inhale,correct,0.376371699996525,P102
P102,-0.31,invalid,7,inhale,correct,0.296207600011257,P102
P102,-0.31,valid,8,inhale,correct,0.35752119999961,P102
P102,-0.31,invalid,9,inhale,correct,0.358312399999704,P102
P102,0.31,invalid,10,inhale,correct,0.315537300004507,P102
P102,-0.31,invalid,11,inhale,correct,0.428578999999445,P102
P102,0.31,valid,12,inhale,correct,0.37116490000335,P102
P102,10,catch,13,inhale,correct,NA,P102
P102,-0.31,invalid,14,inhale,correct,0.433168199990178,P102
P102,-0.31,valid,15,inhale,correct,0.407949000000372,P102
P102,10,catch,16,inhale,correct,NA,P102
P102,10,catch,17,inhale,correct,NA,P102
P102,0.31,invalid,18,inhale,correct,0.425710600000457,P102
P102,10,catch,19,inhale,correct,NA,P102
P102,0.31,invalid,20,inhale,correct,0.401611299996148,P102
P102,-0.31,valid,21,inhale,correct,0.38588639999216,P102
P102,0.31,valid,22,inhale,correct,0.399289799999679,P102
P102,-0.31,invalid,23,inhale,correct,0.463133400000515,P102
P102,0.31,valid,24,inhale,correct,0.398960400008946,P102
P102,-0.31,invalid,25,inhale,correct,0.357145300004049,P102
P102,-0.31,valid,26,inhale,correct,0.432485900004394,P102
P102,0.31,valid,27,inhale,correct,0.378353399995831,P102
P102,10,catch,28,inhale,correct,NA,P102
P102,0.31,valid,29,inhale,correct,0.391688999996404,P102
