position,phase,sd_rt,mean_rt,n,se_rt,ci_low,ci_high
down,exhale,0.05104782818859711,0.4281454418031524,53,0.007011958468341483,0.4140749177454297,0.4422159658608751
down,inhale,0.048710318231834956,0.4133922371936429,53,0.006690876782444959,0.39996601067508825,0.4268184637121975
left,exhale,0.052760866319491694,0.42499935036821207,53,0.0072472623520667715,0.41045665452399344,0.4395420462124307
left,inhale,0.05271656438721906,0.4133879776378841,53,0.007241177013665787,0.3988574929185255,0.4279184623572427
right,exhale,0.0516215061623262,0.42800974939015135,53,0.0070907591983378525,0.41378110009934493,0.44223839868095777
right,inhale,0.049779512127436726,0.4178758955581293,53,0.0068377418589153135,0.40415496270310036,0.4315968284131583
up,exhale,0.05271167216568582,0.43277377191921546,53,0.007240505015357019,0.41824463566311615,0.44730290817531476
up,inhale,0.04820030416965813,0.41955470293644775,53,0.006620820963242588,0.40626905370367156,0.43284035216922395
