participant_ID,position,trial,phase,response,rt
P103,down,30,exhale,correct,0.502424099999644
P103,up,31,inhale,correct,0.390576699999656
P103,right,32,exhale,correct,0.346361200000047
P103,catch,33,inhale,correct,NA
P103,left,34,exhale,correct,0.318600399999923
P103,down,35,inhale,correct,0.424514400000135
P103,left,36,exhale,correct,0.335062999999991
P103,right,37,inhale,correct,0.372232799999892
P103,up,38,exhale,correct,0.371739400000024
P103,catch,39,inhale,correct,NA
P103,down,40,exhale,correct,0.366460400000051
P103,catch,41,inhale,correct,NA
P103,catch,42,exhale,correct,NA
P103,down,43,inhale,correct,0.331398599999829
P103,left,44,exhale,correct,0.549375300000065
P103,left,45,inhale,correct,0.351700300000175
P103,up,46,exhale,correct,0.302571100000023
P103,right,47,inhale,correct,0.343501599999854
P103,right,48,exhale,correct,0.326356699999906
P103,up,49,inhale,correct,0.357723199999782
P103,right,50,exhale,correct,0.313572600000043
P103,catch,51,inhale,correct,NA
P103,down,52,exhale,correct,0.343769399999928
P103,up,53,inhale,correct,0.37566519999973
P103,catch,54,exhale,correct,NA
P103,right,55,inhale,correct,0.408464699999968
P103,up,56,exhale,correct,0.405211300000246
P103,down,57,exhale,correct,0.423572500000319
P103,left,58,inhale,correct,0.471338100000139
P103,left,59,exhale,correct,0.343867200000204
P103,left,0,exhale,correct,0.320628899999974
P103,right,1,inhale,correct,0.363739100000203
P103,right,2,exhale,correct,0.319270999999844
P103,up,3,inhale,correct,0.404590699999972
P103,down,4,exhale,correct,0.356883099999777
P103,left,5,inhale,correct,0.393758000000162
P103,up,6,exhale,correct,0.303282400000171
P103,catch,7,inhale,correct,NA
P103,down,8,exhale,correct,0.336022099999809
P103,catch,9,inhale,correct,NA
P103,down,10,exhale,correct,0.433032800000092
P103,left,11,inhale,correct,0.350445799999761
P103,down,12,exhale,correct,0.383685300000252
P103,left,13,inhale,correct,0.287205300000096
P103,right,14,exhale,correct,0.269199899999876
P103,catch,15,inhale,correct,NA
P103,catch,16,exhale,correct,NA
P103,up,17,inhale,correct,0.334474700000101
P103,right,18,exhale,correct,0.379452700000002
P103,up,19,inhale,correct,0.380513900000096
P103,up,20,inhale,correct,0.325915400000213
P103,catch,21,exhale,correct,NA
P103,left,22,exhale,correct,0.424288100000012
P103,left,23,inhale,correct,0.353643500000089
P103,catch,24,exhale,correct,NA
P103,up,25,exhale,correct,0.324887900000249
P103,down,26,inhale,correct,0.388120400000389
P103,right,27,inhale,correct,0.343188599999849
P103,right,28,exhale,correct,0.416797899999892
P103,down,29,inhale,correct,0.334573399999954
P103,left,30,exhale,correct,0.342991299999994
P103,left,31,inhale,correct,0.391891000000214
P103,down,32,exhale,correct,0.328938900000139
P103,catch,33,inhale,correct,NA
P103,right,34,inhale,correct,0.320602199999939
P103,up,35,exhale,correct,0.359987300000284
P103,catch,36,inhale,correct,NA
P103,right,37,exhale,correct,0.359564299999874
P103,down,38,inhale,correct,0.325686600000154
P103,up,39,exhale,correct,0.360515499999565
P103,left,40,inhale,correct,0.315113900000142
P103,up,41,exhale,correct,0.473893599999883
P103,down,42,inhale,correct,0.342566899999838
P103,right,43,exhale,correct,0.336094100000082
P103,catch,44,inhale,correct,NA
P103,up,45,inhale,correct,0.313013800000135
P103,left,46,exhale,correct,0.395884900000055
P103,right,47,inhale,correct,0.300387499999943
P103,catch,48,inhale,correct,NA
P103,down,49,exhale,correct,0.360476999999719
P103,catch,50,exhale,correct,NA
P103,right,51,inhale,correct,0.336577300000044
P103,up,52,exhale,correct,0.370531399999891
P103,down,53,inhale,correct,0.358553399999892
P103,left,54,exhale,correct,0.355694599999879
P103,catch,55,inhale,correct,NA
P103,up,56,exhale,correct,0.380339400000139
P103,right,57,inhale,correct,0.377182899999752
P103,down,58,exhale,correct,0.353950700000041
P103,left,59,inhale,correct,0.375477099999898
P104,left,0,inhale,correct,0.365565300000526
P104,catch,1,exhale,correct,NA
P104,right,2,inhale,correct,0.403647799999817
P104,right,3,exhale,correct,0.411391499999809
P104,catch,4,inhale,correct,NA
P104,left,5,exhale,correct,0.286263699999836
P104,up,6,inhale,correct,0.378696599999785
P104,down,7,exhale,correct,0.465800700000727
P104,up,8,inhale,correct,0.361513500000001
P104,down,9,exhale,correct,0.491780100000142
P104,catch,10,inhale,correct,NA
P104,down,11,exhale,correct,0.275769400000172
P104,right,12,inhale,correct,0.365512500000477
P104,right,13,exhale,correct,0.319546000000628
P104,left,14,inhale,correct,0.354835099999946
P104,up,15,exhale,correct,0.399036099999648
P104,catch,16,inhale,correct,NA
P104,up,17,exhale,correct,0.333332400000472
P104,down,18,inhale,correct,0.510791699999572
P104,left,19,exhale,correct,0.438290099999904
P104,down,20,inhale,correct,0.291791199999352
P104,up,21,exhale,correct,0.32261600000038
P104,catch,22,inhale,correct,NA
P104,left,23,exhale,correct,0.365877499999442
P104,down,24,inhale,correct,0.399254299999484
P104,up,25,exhale,correct,0.395977099999982
P104,catch,26,inhale,correct,NA
P104,right,27,exhale,correct,0.325984699999935
