position,phase,sd_rt,mean_rt,n,se_rt,ci_low,ci_high
down,exhale,0.0531257120118677,0.3911383626891733,29,0.00986519705794044,0.37093042258047065,0.41134630279787593
down,inhale,0.06200404736307838,0.3949038978188894,29,0.011513862543432781,0.37131881955527296,0.41848897608250585
left,exhale,0.06454982504336368,0.391421684209192,29,0.011986601590696951,0.3668682439049541,0.4159751245134299
left,inhale,0.05288670973317567,0.3869950994952842,29,0.009820815448973636,0.36687807099135356,0.40711212799921487
right,exhale,0.06839501670791275,0.393832227805359,29,0.01270063575720097,0.36781615481496843,0.41984830079574953
right,inhale,0.05535585732287146,0.3848698019994167,29,0.010279324645651249,0.3638135599824328,0.40592604401640064
up,exhale,0.058067826530427705,0.38984135039821327,29,0.010782924684774157,0.36775353046448167,0.41192917033194487
up,inhale,0.04830079335793594,0.37772970093439534,29,0.008969232156821815,0.35935706172794196,0.3961023401408487
