cue_img,cue_soa,target_x,trial,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready_txt.stopped,ready.stopped,fix.started,fixation.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,cue.started,cube.started,fixation_cross_cue.started,cue.stopped,target.started,fixation_target.started,fixation_cross_target.started,key_resp.started,star.started,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,star.stopped,fixation_target.stopped,fixation_cross_target.stopped,key_resp.stopped,block1.key_control2.keys,block1.key_control2.rt,block1.key_control2.duration,block1.key_resp.keys,block1.key_resp.rt,block1.key_resp.duration,cube.stopped,fixation_cross_cue.stopped,break_2.started,text.started,key_control3.started,text.stopped,break_2.stopped,key_control3.keys,key_control3.rt,key_control3.duration,block2.key_control2.keys,block2.key_control2.rt,block2.key_control2.duration,block2.key_resp.keys,block2.key_resp.rt,block2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007331900000281166,0.03000919999976759,0.03000919999976759,1737.6456541000007,up,1737.6109728999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.6457038000008,1737.6584481999998,1740.6590322999982,1740.6393203000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_r.png,0.1,-0.31,invalid,0,0,0,up,38.1403492999998,None,space,0.837645399999019,None,0,0,0,2,,,,,,,,,1740.6590322999982,,,,,,,,,,,,,1740.6465247000015,1740.6590322999982,1740.6590322999982,1740.6590322999982,1778.8007840999999,up,38.1403492999998,None,1778.8252724000013,1778.8351952000012,1778.8351952000012,1778.8663522999996,1778.866578699999,1778.8830562000003,1778.8830562000003,1778.8830562000003,1778.9662032999986,1779.7326662999985,space,0.837645399999019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_l.png,0.1,-0.31,valid,1,1,0,up,3.6430930999995326,None,space,0.4239589999997406,None,0,1,1,0,,,,,,,,,1779.748866599999,,,,,,,,,,,,,1779.7328296999985,1779.748866599999,1779.748866599999,1779.748866599999,1783.3960862999993,up,3.6430930999995326,None,1783.4084347999997,1783.418459299999,1783.418459299999,1783.4613420999995,1783.4617279999984,1783.4778074999995,1783.4778074999995,1783.4778074999995,1783.5610357000005,1783.9121926000007,space,0.4239589999997406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_r.png,0.1,-0.31,invalid,2,2,0,up,1.856448200000159,None,space,0.4710464999989199,None,0,2,2,6,,,,,,,,,1783.9273582999995,,,,,,,,,,,,,1783.9124994999984,1783.9273582999995,1783.9273582999995,1783.9273582999995,1785.7934109999987,up,1.856448200000159,None,1785.8057692000002,1785.8157921999991,1785.8157921999991,1785.8592673999992,1785.859526799999,1785.8757474000013,1785.8757474000013,1785.8757474000013,1785.9590542000005,1786.3595950999988,space,0.4710464999989199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_l.png,0.1,0.31,invalid,3,3,0,up,1.616742999998678,None,space,0.4768197000012151,None,0,3,3,5,,,,,,,,,1786.3753318000017,,,,,,,,,,,,,1786.359795299999,1786.3753318000017,1786.3753318000017,1786.3753318000017,1788.0078228999992,up,1.616742999998678,None,1788.0154595999993,1788.0265848000017,1788.0265848000017,1788.0738692000014,1788.0741321999994,1788.0902400000014,1788.0902400000014,1788.0902400000014,1788.1733926000015,1788.5739709000009,space,0.4768197000012151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_r.png,0.1,0.31,valid,4,4,0,up,1.6657993999979226,None,space,0.32219370000166236,None,0,4,4,10,,,,,,,,,1788.5897982999995,,,,,,,,,,,,,1788.5741684999994,1788.5897982999995,1788.5897982999995,1788.5897982999995,1790.2722203000012,up,1.6657993999979226,None,1790.2797484000002,1790.2906554,1790.2906554,1790.3379576000007,1790.3384536000012,1790.3543480000008,1790.3543480000008,1790.3543480000008,1790.4376288999993,1790.6887807999992,space,0.32219370000166236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_l.png,0.1,-0.31,valid,5,5,0,up,1.7355784999999742,None,space,0.3406582999996317,None,0,5,5,8,,,,,,,,,1790.7042002000017,,,,,,,,,,,,,1790.6890502999995,1790.7042002000017,1790.7042002000017,1790.7042002000017,1792.4535677999993,up,1.7355784999999742,None,1792.4646629000017,1792.4748729999992,1792.4748729999992,1792.5192496000018,1792.5195916999983,1792.535828,1792.535828,1792.535828,1792.6190871,1792.886428400001,space,0.3406582999996317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_l.png,0.1,0.31,invalid,6,6,0,up,1.68979390000095,None,space,0.45391079999899375,None,0,6,6,1,,,,,,,,,1792.9020242000006,,,,,,,,,,,,,1792.8867008999987,1792.9020242000006,1792.9020242000006,1792.9020242000006,1794.6014495000018,up,1.68979390000095,None,1794.6096036000017,1794.6197463999997,1794.6197463999997,1794.6669278000008,1794.667177700001,1794.6834409000003,1794.6834409000003,1794.6834409000003,1794.7667145000014,1795.1505966000004,space,0.45391079999899375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
cube_r.png,0.1,-0.31,invalid,7,7,0,up,1.7697100000004866,None,space,0.5386859000027471,None,0,7,7,9,,,,,,,,,1795.1662576999988,,,,,,,,,,,,,1795.1507792999982,1795.1662576999988,1795.1662576999988,1795.1662576999988,1796.9485726999992,up,1.7697100000004866,None,1796.954639200001,1796.9662443000016,1796.9662443000016,1797.0144839999994,1797.0146972000002,1797.0339625999986,1797.0339625999986,1797.0339625999986,1797.0975700000017,1797.5814390000014,space,0.5386859000027471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P145,001,2025-04-09_13h30.19.096,posner_endo_new1,2024.2.4,60.05980755598519,2025-04-09 13h30.25.110525 +0100,
