cue_img,cue_soa,target_x,trial,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready_txt.stopped,ready.stopped,fix.started,fixation.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,cue.started,cube.started,fixation_cross_cue.started,cue.stopped,target.started,fixation_target.started,fixation_cross_target.started,key_resp.started,star.started,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,star.stopped,fixation_target.stopped,fixation_cross_target.stopped,key_resp.stopped,block1.key_control2.keys,block1.key_control2.rt,block1.key_control2.duration,block1.key_resp.keys,block1.key_resp.rt,block1.key_resp.duration,break_2.started,text.started,key_control3.started,text.stopped,break_2.stopped,key_control3.keys,key_control3.rt,key_control3.duration,block2.key_control2.keys,block2.key_control2.rt,block2.key_control2.duration,block2.key_resp.keys,block2.key_resp.rt,block2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007463000001735054,0.027844900003401563,0.027844900003401563,24.557215500000893,up,24.513720599999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.557258400000137,24.569878600002994,27.569907000000967,27.550465300002543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_l.png,0.1,-0.31,valid,0,0,0,up,8.707555900000443,None,space,0.32783049999852665,None,0,0,0,0,,,,,,,,,27.569907000000967,,,,,,,,,,,,,27.557726200000616,27.569907000000967,27.569907000000967,27.569907000000967,36.291956500001106,up,8.707555900000443,None,36.30188520000229,36.312324600003194,36.312324600003194,36.35813530000087,36.35836890000064,36.3748794000021,36.3748794000021,36.3748794000021,36.441315300002316,36.70806600000287,space,0.32783049999852665,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_l.png,0.1,0.31,invalid,1,1,0,up,7.416471399999864,None,space,0.26678919999903883,None,0,1,1,1,,,,,,,,,36.72437770000033,,,,,,,,,,,,,36.70824370000264,36.72437770000033,36.72437770000033,36.72437770000033,44.15085420000105,up,7.416471399999864,None,44.15815350000048,44.169866100000945,44.169866100000945,44.216778500001965,44.21702010000081,44.233257500000036,44.233257500000036,44.233257500000036,44.31651620000048,44.516994200002955,space,0.26678919999903883,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_r.png,0.1,-0.31,invalid,2,2,0,up,7.544337399998767,None,space,0.3273979999976291,None,0,2,2,2,,,,,,,,,44.5330810000014,,,,,,,,,,,,,44.51718990000154,44.5330810000014,44.5330810000014,44.5330810000014,52.092701300000044,up,7.544337399998767,None,52.09897550000096,52.11043750000317,52.11043750000317,52.15865510000003,52.15889200000311,52.17515370000183,52.17515370000183,52.17515370000183,52.24133890000303,52.509159800003545,space,0.3273979999976291,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_r.png,0.1,10,catch,3,3,0,up,7.872963300000265,None,None,,,0,3,3,3,,,,,,,,,52.52467570000226,,,,,,,,,,,,,52.50933630000145,52.52467570000226,52.52467570000226,52.52467570000226,60.40066030000162,up,7.872963300000265,None,60.406861900002696,60.41848690000188,60.41848690000188,60.46675310000137,60.46698910000123,60.483381900001405,60.483381900001405,60.483381900001405,60.55006290000165,63.48026360000222,None,,,62.56447240000125,63.49681950000013,63.49681950000013,63.49681950000013,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_l.png,0.1,-0.31,valid,4,4,0,up,5.116608799999085,None,space,0.3613614999994752,None,0,4,4,4,,,,,,,,,63.49681950000013,,,,,,,,,,,,,63.480432200001815,63.49681950000013,63.49681950000013,63.49681950000013,68.62585340000078,up,5.116608799999085,None,68.63289580000128,68.64465740000014,68.64465740000014,68.69168350000109,68.69193260000247,68.70827730000019,68.70827730000019,68.70827730000019,68.79154330000165,69.07516510000278,space,0.3613614999994752,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_l.png,0.1,0.31,invalid,5,5,0,up,8.010202699999354,None,space,0.2980686000009882,None,0,5,5,5,,,,,,,,,69.09111160000248,,,,,,,,,,,,,69.07533470000271,69.09111160000248,69.09111160000248,69.09111160000248,77.1171725000022,up,8.010202699999354,None,77.12385850000283,77.13555270000143,77.13555270000143,77.18297240000174,77.18321490000017,77.19963540000026,77.19963540000026,77.19963540000026,77.26613620000353,77.49999730000127,space,0.2980686000009882,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_r.png,0.1,-0.31,invalid,6,6,0,up,7.617734600000404,None,space,0.36630049999803305,None,0,6,6,6,,,,,,,,,77.51588480000282,,,,,,,,,,,,,77.50016850000247,77.51588480000282,77.51588480000282,77.51588480000282,85.14231960000325,up,7.617734600000404,None,85.14861380000002,85.16011750000325,85.16011750000325,85.20829510000112,85.20853360000183,85.22441380000237,85.22441380000237,85.22441380000237,85.30810880000354,85.59170890000314,space,0.36630049999803305,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
cube_r.png,0.1,0.31,valid,7,7,0,up,7.9657095999973535,None,space,0.34871989999737707,None,0,7,7,7,,,,,,,,,85.60731910000322,,,,,,,,,,,,,85.59188610000274,85.60731910000322,85.60731910000322,85.60731910000322,93.58367250000083,up,7.9657095999973535,None,93.58972310000172,93.60116440000274,93.60116440000274,93.6495156000019,93.64975020000202,93.66598400000294,93.66598400000294,93.66598400000294,93.74951470000087,94.01664840000012,space,0.34871989999737707,None,,,,,,,,,,,,,,,,,,,,,,,,,p109,001,2025-02-13_15h31.59.684,posner_endo_new1,2024.2.4,60.05605632289717,2025-02-13 15h32.09.556758 +0000,
