"participant_ID","target_x","validity","trial","phase","response","rt"
"P133",10,"catch",0,"inhale","correct",NA
"P133",10,"catch",1,"inhale","correct",NA
"P133",0.31,"invalid",2,"inhale","correct",0.343621599953622
"P133",0.31,"invalid",3,"inhale","correct",0.295435899868608
"P133",-0.31,"valid",4,"inhale","correct",0.3350792999845
"P133",-0.31,"invalid",5,"inhale","correct",0.324962900020182
"P133",0.31,"valid",6,"inhale","correct",0.294613000005484
"P133",-0.31,"invalid",7,"inhale","correct",0.384813799988478
"P133",-0.31,"valid",8,"inhale","correct",0.378146999981254
"P133",-0.31,"invalid",9,"inhale","correct",0.309741000179201
"P133",0.31,"invalid",10,"inhale","correct",0.346944299992174
"P133",-0.31,"invalid",11,"inhale","correct",0.312231800053269
"P133",0.31,"valid",12,"inhale","correct",0.334417700069025
"P133",10,"catch",13,"inhale","correct",NA
"P133",-0.31,"invalid",14,"inhale","correct",0.411321799969301
"P133",-0.31,"valid",15,"inhale","correct",0.337598900077865
"P133",10,"catch",16,"inhale","incorrect",0.325043600052595
"P133",10,"catch",17,"inhale","correct",NA
"P133",0.31,"invalid",18,"inhale","correct",0.483798299916089
"P133",10,"catch",19,"inhale","incorrect",0.296766499988735
"P133",0.31,"invalid",20,"inhale","correct",0.383683799998835
"P133",-0.31,"valid",21,"inhale","correct",0.441236299928278
"P133",0.31,"valid",22,"inhale","correct",0.329805699875578
"P133",-0.31,"invalid",23,"inhale","correct",0.42139200004749
"P133",0.31,"valid",24,"inhale","correct",0.382043200079352
"P133",-0.31,"invalid",25,"inhale","correct",0.32802030001767
"P133",-0.31,"valid",26,"inhale","correct",0.360679300036281
"P133",0.31,"valid",27,"inhale","correct",0.373472699895501
"P133",10,"catch",28,"inhale","correct",NA
"P133",0.31,"valid",29,"inhale","correct",0.422342899953946
"P133",0.31,"valid",30,"inhale","correct",0.382036900147796
"P133",-0.31,"valid",31,"inhale","correct",0.393757400102913
"P133",0.31,"valid",32,"inhale","correct",0.300919199828058
"P133",-0.31,"invalid",33,"inhale","correct",0.362709899898618
"P133",10,"catch",34,"inhale","incorrect",0.34364700014703
"P133",0.31,"valid",35,"inhale","correct",0.417006600182503
"P133",-0.31,"invalid",36,"inhale","correct",0.42235799995251
"P133",0.31,"invalid",37,"inhale","correct",0.350233299890533
"P133",0.31,"invalid",38,"inhale","correct",0.372458699857816
"P133",0.31,"valid",39,"inhale","correct",0.293344299774617
"P133",0.31,"invalid",40,"inhale","correct",0.34198800008744
"P133",10,"catch",41,"inhale","correct",NA
"P133",-0.31,"valid",42,"inhale","correct",0.419747099978849
"P133",10,"catch",43,"inhale","correct",NA
"P133",0.31,"invalid",44,"inhale","correct",0.422284299973398
"P133",0.31,"invalid",45,"inhale","correct",0.374509900109842
"P133",0.31,"valid",46,"inhale","correct",0.409729599952698
"P133",-0.31,"valid",47,"inhale","correct",0.366266899975017
"P133",-0.31,"invalid",48,"inhale","correct",0.353175700176507
"P133",10,"catch",49,"inhale","correct",NA
"P133",-0.31,"valid",50,"inhale","correct",0.560114399995655
"P133",-0.31,"valid",51,"inhale","correct",0.360068900045007
"P133",-0.31,"invalid",52,"inhale","correct",0.38255099998787
"P133",-0.31,"valid",53,"inhale","correct",0.347364899935201
"P133",10,"catch",54,"inhale","correct",NA
"P133",0.31,"invalid",55,"inhale","correct",0.364236700115725
"P133",-0.31,"valid",56,"inhale","correct",0.481777400011197
"P133",0.31,"valid",57,"inhale","correct",0.30555639998056
"P133",-0.31,"invalid",58,"inhale","correct",0.368362299865112
"P133",0.31,"invalid",59,"inhale","correct",0.39694740017876
"P133",10,"catch",0,"exhale","correct",NA
"P133",10,"catch",1,"exhale","correct",NA
"P133",0.31,"invalid",2,"exhale","correct",0.414989299839363
"P133",0.31,"invalid",3,"exhale","correct",0.505169800017029
"P133",-0.31,"valid",4,"exhale","correct",0.386713000014424
"P133",-0.31,"invalid",5,"exhale","correct",0.340067300014198
"P133",0.31,"valid",6,"exhale","correct",0.395548800006509
"P133",-0.31,"invalid",7,"exhale","correct",0.377676700009033
"P133",-0.31,"valid",8,"exhale","correct",0.366901300149038
"P133",-0.31,"invalid",9,"exhale","correct",0.361245600041002
"P133",0.31,"invalid",10,"exhale","correct",0.436204399913549
"P133",-0.31,"invalid",11,"exhale","correct",0.349708300083876
"P133",0.31,"valid",12,"exhale","correct",0.412425300106406
"P133",10,"catch",13,"exhale","incorrect",0.313559399917722
"P133",-0.31,"invalid",14,"exhale","correct",0.383325399830937
"P133",-0.31,"valid",15,"exhale","correct",0.421677500009537
"P133",10,"catch",16,"exhale","correct",NA
"P133",10,"catch",17,"exhale","correct",NA
"P133",0.31,"invalid",18,"exhale","correct",0.439374499954283
"P133",10,"catch",19,"exhale","correct",NA
