"participant_ID","target_x","validity","trial","phase","response","rt"
"P121",10,"catch",0,"inhale","incorrect",0.263951000000816
"P121",10,"catch",1,"inhale","correct",NA
"P121",0.31,"invalid",2,"inhale","correct",0.305430799955502
"P121",0.31,"invalid",3,"inhale","correct",0.405225499998778
"P121",-0.31,"valid",4,"inhale","correct",0.39695359999314
"P121",-0.31,"invalid",5,"inhale","correct",0.525336400023662
"P121",0.31,"valid",6,"inhale","correct",0.330521999974735
"P121",-0.31,"invalid",7,"inhale","correct",0.398793400032446
"P121",-0.31,"valid",8,"inhale","correct",0.257858700002544
"P121",-0.31,"invalid",9,"inhale","correct",0.312985699973069
"P121",0.31,"invalid",10,"inhale","correct",0.399042800010648
"P121",-0.31,"invalid",11,"inhale","correct",0.330001099966466
"P121",0.31,"valid",12,"inhale","correct",0.478476700023748
"P121",10,"catch",13,"inhale","correct",NA
"P121",-0.31,"invalid",14,"inhale","correct",0.415981099999044
"P121",-0.31,"valid",15,"inhale","correct",0.386103900033049
"P121",10,"catch",16,"inhale","correct",NA
"P121",10,"catch",17,"inhale","correct",NA
"P121",0.31,"invalid",18,"inhale","correct",0.361111400008667
"P121",10,"catch",19,"inhale","correct",NA
"P121",0.31,"invalid",20,"inhale","correct",0.394983099948149
"P121",-0.31,"valid",21,"inhale","correct",0.36405079998076
"P121",0.31,"valid",22,"inhale","correct",0.331002000020817
"P121",-0.31,"invalid",23,"inhale","correct",0.412916200002655
"P121",0.31,"valid",24,"inhale","correct",0.378772900032345
"P121",-0.31,"invalid",25,"inhale","correct",0.366017299995292
"P121",-0.31,"valid",26,"inhale","correct",0.374694800004363
"P121",0.31,"valid",27,"inhale","correct",0.429488599998876
"P121",10,"catch",28,"inhale","correct",NA
"P121",0.31,"valid",29,"inhale","correct",0.368161999969743
"P121",0.31,"valid",30,"inhale","correct",0.378561199991964
"P121",-0.31,"valid",31,"inhale","correct",0.468839500041213
"P121",0.31,"valid",32,"inhale","correct",0.322036899975501
"P121",-0.31,"invalid",33,"inhale","correct",0.367340600001626
"P121",10,"catch",34,"inhale","correct",NA
"P121",0.31,"valid",35,"inhale","correct",0.3368653000216
"P121",-0.31,"invalid",36,"inhale","correct",0.349096599966288
"P121",0.31,"invalid",37,"inhale","correct",0.426079800003208
"P121",0.31,"invalid",38,"inhale","correct",0.352222599962261
"P121",0.31,"valid",39,"inhale","correct",0.378606599988416
"P121",0.31,"invalid",40,"inhale","correct",0.306957200053148
"P121",10,"catch",41,"inhale","incorrect",0.302843199984636
"P121",-0.31,"valid",42,"inhale","correct",0.48716429999331
"P121",10,"catch",43,"inhale","correct",NA
"P121",0.31,"invalid",44,"inhale","correct",0.467409100034274
"P121",0.31,"invalid",45,"inhale","correct",0.38747620000504
"P121",0.31,"valid",46,"inhale","correct",0.507536499993876
"P121",-0.31,"valid",47,"inhale","correct",0.388234000012744
"P121",-0.31,"invalid",48,"inhale","correct",0.417225000041071
"P121",10,"catch",49,"inhale","correct",NA
"P121",-0.31,"valid",50,"inhale","correct",0.435208600014448
"P121",-0.31,"valid",51,"inhale","correct",0.392550899996422
"P121",-0.31,"invalid",52,"inhale","correct",0.426899900019635
"P121",-0.31,"valid",53,"inhale","correct",0.5656042000046
"P121",10,"catch",54,"inhale","incorrect",0.244608800043352
"P121",0.31,"invalid",55,"inhale","correct",0.463414199999534
"P121",-0.31,"valid",56,"inhale","correct",0.436615400016308
"P121",0.31,"valid",57,"inhale","correct",0.494206400006078
"P121",-0.31,"invalid",58,"inhale","correct",0.590252099966165
"P121",0.31,"invalid",59,"inhale","correct",0.420173299964517
"P121",10,"catch",0,"exhale","correct",NA
"P121",10,"catch",1,"exhale","correct",NA
"P121",0.31,"invalid",2,"exhale","correct",0.450053200009279
"P121",0.31,"invalid",3,"exhale","correct",0.459145499975421
"P121",-0.31,"valid",4,"exhale","correct",0.551230899989605
"P121",-0.31,"invalid",5,"exhale","correct",0.4045423999778
"P121",0.31,"valid",6,"exhale","correct",0.474768700019922
"P121",-0.31,"invalid",7,"exhale","correct",0.461452200019266
"P121",-0.31,"valid",8,"exhale","correct",0.315959300030954
"P121",-0.31,"invalid",9,"exhale","correct",0.336244700010866
"P121",0.31,"invalid",10,"exhale","correct",0.435754200036172
"P121",-0.31,"invalid",11,"exhale","correct",0.459848799975589
"P121",0.31,"valid",12,"exhale","correct",0.37279320001835
"P121",10,"catch",13,"exhale","correct",NA
"P121",-0.31,"invalid",14,"exhale","correct",0.288289500051178
"P121",-0.31,"valid",15,"exhale","correct",0.490005500032566
"P121",10,"catch",16,"exhale","correct",NA
"P121",10,"catch",17,"exhale","correct",NA
"P121",0.31,"invalid",18,"exhale","correct",0.492035600007512
"P121",10,"catch",19,"exhale","correct",NA
"P121",0.31,"invalid",20,"exhale","correct",0.427402900008019
"P121",-0.31,"valid",21,"exhale","correct",0.752739100018516
"P121",0.31,"valid",22,"exhale","correct",0.447649799985811
"P121",-0.31,"invalid",23,"exhale","correct",0.365750900004059
"P121",0.31,"valid",24,"exhale","correct",0.432386700005736
"P121",-0.31,"invalid",25,"exhale","correct",0.502573300036602
"P121",-0.31,"valid",26,"exhale","correct",0.389585600001737
"P121",0.31,"valid",27,"exhale","correct",0.400252599967644
"P121",10,"catch",28,"exhale","correct",NA
"P121",0.31,"valid",29,"exhale","correct",0.391873099957593
"P121",0.31,"valid",30,"exhale","correct",0.516414000012446
"P121",-0.31,"valid",31,"exhale","correct",0.41433679999318
"P121",0.31,"valid",32,"exhale","correct",0.460297000012361
"P121",-0.31,"invalid",33,"exhale","correct",0.426579100021627
"P121",10,"catch",34,"exhale","correct",NA
"P121",0.31,"valid",35,"exhale","correct",0.460699199989904
"P121",-0.31,"invalid",36,"exhale","correct",0.363616799993906
"P121",0.31,"invalid",37,"exhale","correct",0.398691800015513
"P121",0.31,"invalid",38,"exhale","correct",0.510954199999105
"P121",0.31,"valid",39,"exhale","correct",0.457827000005636
"P121",0.31,"invalid",40,"exhale","correct",0.281621099973563
"P121",10,"catch",41,"exhale","correct",NA
"P121",-0.31,"valid",42,"exhale","correct",0.426211600017268
"P121",10,"catch",43,"exhale","correct",NA
"P121",0.31,"invalid",44,"exhale","correct",0.404871200036723
"P121",0.31,"invalid",45,"exhale","correct",0.401649100007489
"P121",0.31,"valid",46,"exhale","correct",0.398435499984771
"P121",-0.31,"valid",47,"exhale","correct",0.484209199959878
"P121",-0.31,"invalid",48,"exhale","correct",0.403650300053414
"P121",10,"catch",49,"exhale","correct",NA
"P121",-0.31,"valid",50,"exhale","correct",0.32087480003247
"P121",-0.31,"valid",51,"exhale","correct",0.419822100026067
"P121",-0.31,"invalid",52,"exhale","correct",0.479979800002184
"P121",-0.31,"valid",53,"exhale","correct",0.384045400016475
"P121",10,"catch",54,"exhale","correct",NA
"P121",0.31,"invalid",55,"exhale","correct",0.460637099982705
"P121",-0.31,"valid",56,"exhale","correct",0.385772500012536
"P121",0.31,"valid",57,"exhale","correct",0.417463099991437
"P121",-0.31,"invalid",58,"exhale","correct",0.451628800015897
"P121",0.31,"invalid",59,"exhale","correct",0.374364199989941
