"participant_ID","target_x","validity","trial","phase","response","rt"
"P128",10,"catch",0,"exhale","correct",NA
"P128",10,"catch",1,"exhale","correct",NA
"P128",0.31,"invalid",2,"exhale","correct",0.384115900029428
"P128",0.31,"invalid",3,"exhale","correct",0.434263399918564
"P128",-0.31,"valid",4,"exhale","correct",0.381804900011048
"P128",-0.31,"invalid",5,"exhale","correct",0.305074499920011
"P128",0.31,"valid",6,"exhale","correct",0.32388279994484
"P128",-0.31,"invalid",7,"exhale","correct",0.328836199943908
"P128",-0.31,"valid",8,"exhale","correct",0.288718300056644
"P128",-0.31,"invalid",9,"exhale","correct",0.334122699918225
"P128",0.31,"invalid",10,"exhale","correct",0.288613099954091
"P128",-0.31,"invalid",11,"exhale","correct",0.292221899959259
"P128",0.31,"valid",12,"exhale","correct",0.405489500029944
"P128",10,"catch",13,"exhale","incorrect",0.311530299950391
"P128",-0.31,"invalid",14,"exhale","correct",0.44987879996188
"P128",-0.31,"valid",15,"exhale","correct",0.444722999935038
"P128",10,"catch",16,"exhale","correct",NA
"P128",10,"catch",17,"exhale","correct",NA
"P128",0.31,"invalid",18,"exhale","correct",0.348280900041573
"P128",10,"catch",19,"exhale","correct",NA
"P128",0.31,"invalid",20,"exhale","correct",0.396754799992777
"P128",-0.31,"valid",21,"exhale","correct",0.31117850006558
"P128",0.31,"valid",22,"exhale","correct",0.316524900030345
"P128",-0.31,"invalid",23,"exhale","correct",0.538736899965443
"P128",0.31,"valid",24,"exhale","correct",0.32419299997855
"P128",-0.31,"invalid",25,"exhale","correct",0.431912900065072
"P128",-0.31,"valid",26,"exhale","correct",0.327361300005578
"P128",0.31,"valid",27,"exhale","correct",0.299332699971274
"P128",10,"catch",28,"exhale","incorrect",0.38631989993155
"P128",0.31,"valid",29,"exhale","correct",0.410782000049949
"P128",0.31,"valid",30,"exhale","correct",0.384185699978843
"P128",-0.31,"valid",31,"exhale","correct",0.579460100037977
"P128",0.31,"valid",32,"exhale","correct",0.297356400056742
"P128",-0.31,"invalid",33,"exhale","correct",0.355847100028768
"P128",10,"catch",34,"exhale","correct",NA
"P128",0.31,"valid",35,"exhale","correct",0.319466099957936
"P128",-0.31,"invalid",36,"exhale","correct",0.397042500087991
"P128",0.31,"invalid",37,"exhale","correct",0.418644099961966
"P128",0.31,"invalid",38,"exhale","correct",0.275414300034754
"P128",0.31,"valid",39,"exhale","correct",0.433810799964704
"P128",0.31,"invalid",40,"exhale","correct",0.345581600093283
"P128",10,"catch",41,"exhale","correct",NA
"P128",-0.31,"valid",42,"exhale","correct",0.389943999936804
"P128",10,"catch",43,"exhale","correct",NA
"P128",0.31,"invalid",44,"exhale","correct",0.394745500059798
"P128",0.31,"invalid",45,"exhale","correct",0.385725000058301
"P128",0.31,"valid",46,"exhale","correct",0.401150200050324
"P128",-0.31,"valid",47,"exhale","correct",0.376727499999106
"P128",-0.31,"invalid",48,"exhale","correct",0.538342499989085
"P128",10,"catch",49,"exhale","correct",NA
"P128",-0.31,"valid",50,"exhale","correct",0.377964100101963
"P128",-0.31,"valid",51,"exhale","correct",0.301893200026825
"P128",-0.31,"invalid",52,"exhale","correct",0.475510300020687
"P128",-0.31,"valid",53,"exhale","correct",0.388699200004339
"P128",10,"catch",54,"exhale","correct",NA
"P128",0.31,"invalid",55,"exhale","correct",0.440978900063783
"P128",-0.31,"valid",56,"exhale","correct",0.51397700002417
"P128",0.31,"valid",57,"exhale","correct",0.453112600021996
"P128",-0.31,"invalid",58,"exhale","correct",0.305666300002486
"P128",0.31,"invalid",59,"exhale","correct",0.331706600030884
"P128",10,"catch",0,"inhale","correct",NA
"P128",10,"catch",1,"inhale","correct",NA
"P128",0.31,"invalid",2,"inhale","correct",0.44376680010464
"P128",0.31,"invalid",3,"inhale","correct",0.375809599994682
"P128",-0.31,"valid",4,"inhale","correct",0.35556669998914
"P128",-0.31,"invalid",5,"inhale","correct",0.398223700001836
"P128",0.31,"valid",6,"inhale","correct",0.368195699993521
"P128",-0.31,"invalid",7,"inhale","correct",0.294647499918938
"P128",-0.31,"valid",8,"inhale","correct",0.295929700019769
"P128",-0.31,"invalid",9,"inhale","correct",0.39181139995344
"P128",0.31,"invalid",10,"inhale","correct",0.373634899966419
"P128",-0.31,"invalid",11,"inhale","correct",0.299353100010194
"P128",0.31,"valid",12,"inhale","correct",0.251003199955449
"P128",10,"catch",13,"inhale","incorrect",0.127861900022253
"P128",-0.31,"invalid",14,"inhale","correct",0.346490399912
"P128",-0.31,"valid",15,"inhale","correct",0.283719599945471
"P128",10,"catch",16,"inhale","incorrect",0.192140100058168
"P128",10,"catch",17,"inhale","correct",NA
