"participant_ID","target_x","validity","trial","phase","response","rt"
"P108",10,"catch",0,"exhale","correct",NA
"P108",10,"catch",1,"exhale","correct",NA
"P108",0.31,"invalid",2,"exhale","correct",0.347138900000573
"P108",0.31,"invalid",3,"exhale","correct",0.60476749999907
"P108",-0.31,"valid",4,"exhale","correct",0.24451819999922
"P108",-0.31,"invalid",5,"exhale","correct",0.243947900000421
"P108",0.31,"valid",6,"exhale","correct",0.431349700000283
"P108",-0.31,"invalid",7,"exhale","correct",0.27868909999961
"P108",-0.31,"valid",8,"exhale","correct",0.231655799998407
"P108",-0.31,"invalid",9,"exhale","correct",0.142686600000161
"P108",0.31,"invalid",10,"exhale","correct",0.336239000000205
"P108",-0.31,"invalid",11,"exhale","correct",0.314556299999822
"P108",0.31,"valid",12,"exhale","correct",0.258536899998944
"P108",10,"catch",13,"exhale","correct",NA
"P108",-0.31,"invalid",14,"exhale","correct",0.32026229999974
"P108",-0.31,"valid",15,"exhale","correct",0.369301999999152
"P108",10,"catch",16,"exhale","incorrect",0.349974099999599
"P108",10,"catch",17,"exhale","correct",NA
"P108",0.31,"invalid",18,"exhale","correct",0.473099599999841
"P108",10,"catch",19,"exhale","correct",NA
"P108",0.31,"invalid",20,"exhale","correct",0.38495679999869
"P108",-0.31,"valid",21,"exhale","correct",0.398171400000138
"P108",0.31,"valid",22,"exhale","correct",0.283754999998564
"P108",-0.31,"invalid",23,"exhale","correct",0.305924199999936
"P108",0.31,"valid",24,"exhale","correct",0.323344499998711
"P108",-0.31,"invalid",25,"exhale","correct",0.440774999999121
"P108",-0.31,"valid",26,"exhale","correct",1.72295300000042
"P108",0.31,"valid",27,"exhale","correct",0.316933199999767
"P108",10,"catch",28,"exhale","incorrect",0.333966300000611
"P108",0.31,"valid",29,"exhale","correct",0.424884899999597
"P108",0.31,"valid",30,"exhale","correct",0.442144500000722
"P108",-0.31,"valid",31,"exhale","correct",0.406422100000782
"P108",0.31,"valid",32,"exhale","correct",0.234820199999376
"P108",-0.31,"invalid",33,"exhale","correct",0.434395700000096
"P108",10,"catch",34,"exhale","incorrect",0.321287599999778
"P108",0.31,"valid",35,"exhale","correct",0.578332000000955
"P108",-0.31,"invalid",36,"exhale","correct",0.391517800000656
"P108",0.31,"invalid",37,"exhale","correct",0.500529699998879
"P108",0.31,"invalid",38,"exhale","correct",0.336863200000153
"P108",0.31,"valid",39,"exhale","correct",0.285839100000885
"P108",0.31,"invalid",40,"exhale","correct",0.35582389999945
"P108",10,"catch",41,"exhale","correct",NA
"P108",-0.31,"valid",42,"exhale","correct",0.362722199999553
"P108",10,"catch",43,"exhale","correct",NA
"P108",0.31,"invalid",44,"exhale","correct",0.398885299999165
"P108",0.31,"invalid",45,"exhale","correct",0.419036900000719
"P108",0.31,"valid",46,"exhale","correct",0.315719599999284
"P108",-0.31,"valid",47,"exhale","correct",0.348810100000264
"P108",-0.31,"invalid",48,"exhale","correct",0.774160799999663
"P108",10,"catch",49,"exhale","incorrect",0.358879499999603
"P108",-0.31,"valid",50,"exhale","correct",0.402340300001015
"P108",-0.31,"valid",51,"exhale","correct",0.377226700000392
"P108",-0.31,"invalid",52,"exhale","correct",0.398649999999179
"P108",-0.31,"valid",53,"exhale","correct",0.530166700000336
"P108",10,"catch",54,"exhale","correct",NA
"P108",0.31,"invalid",55,"exhale","correct",0.487091399998462
"P108",-0.31,"valid",56,"exhale","correct",0.359024000001227
"P108",0.31,"valid",57,"exhale","correct",0.391518700000233
"P108",-0.31,"invalid",58,"exhale","correct",0.341739899999084
"P108",0.31,"invalid",59,"exhale","correct",0.338244000000486
"P108",10,"catch",0,"inhale","correct",NA
"P108",10,"catch",1,"inhale","correct",NA
"P108",0.31,"invalid",2,"inhale","correct",0.492861500000799
"P108",0.31,"invalid",3,"inhale","correct",0.446265800001129
"P108",-0.31,"valid",4,"inhale","correct",0.317582899999252
"P108",-0.31,"invalid",5,"inhale","correct",0.301276800000778
"P108",0.31,"valid",6,"inhale","correct",0.269121199999063
"P108",-0.31,"invalid",7,"inhale","correct",0.276324299997214
"P108",-0.31,"valid",8,"inhale","correct",0.368449300000066
"P108",-0.31,"invalid",9,"inhale","correct",0.307923600001232
"P108",0.31,"invalid",10,"inhale","correct",0.327417300002708
"P108",-0.31,"invalid",11,"inhale","correct",0.238712599999417
"P108",0.31,"valid",12,"inhale","correct",0.290802200001053
"P108",10,"catch",13,"inhale","correct",NA
"P108",-0.31,"invalid",14,"inhale","correct",0.457645300000877
"P108",-0.31,"valid",15,"inhale","correct",0.37779109999974
"P108",10,"catch",16,"inhale","incorrect",0.336602100000164
"P108",10,"catch",17,"inhale","correct",NA
"P108",0.31,"invalid",18,"inhale","correct",0.518818000000465
"P108",10,"catch",19,"inhale","correct",NA
"P108",0.31,"invalid",20,"inhale","correct",0.41262579999966
"P108",-0.31,"valid",21,"inhale","correct",0.536184600001434
"P108",0.31,"valid",22,"inhale","correct",0.319087899999431
"P108",-0.31,"invalid",23,"inhale","correct",0.329561400001694
"P108",0.31,"valid",24,"inhale","correct",0.393184699998528
"P108",-0.31,"invalid",25,"inhale","correct",0.301243599998998
"P108",-0.31,"valid",26,"inhale","correct",0.301561899999797
"P108",0.31,"valid",27,"inhale","correct",0.281467700002395
"P108",10,"catch",28,"inhale","incorrect",0.33659550000084
"P108",0.31,"valid",29,"inhale","correct",0.384534799999528
"P108",0.31,"valid",30,"inhale","correct",0.347177199997532
"P108",-0.31,"valid",31,"inhale","correct",0.318615500000305
"P108",0.31,"valid",32,"inhale","correct",0.294378899998264
"P108",-0.31,"invalid",33,"inhale","correct",0.32330759999968
"P108",10,"catch",34,"inhale","correct",NA
"P108",0.31,"valid",35,"inhale","correct",0.771350399998482
"P108",-0.31,"invalid",36,"inhale","correct",0.389722900003107
