"participant_ID","target_x","validity","trial","phase","response","rt"
"P120",10,"catch",0,"exhale","correct",NA
"P120",10,"catch",1,"exhale","correct",NA
"P120",0.31,"invalid",2,"exhale","correct",0.55566589999944
"P120",0.31,"invalid",3,"exhale","correct",0.793982800038066
"P120",-0.31,"valid",4,"exhale","correct",0.386207300005481
"P120",-0.31,"invalid",5,"exhale","correct",0.439892900001723
"P120",0.31,"valid",6,"exhale","correct",0.350882700004149
"P120",-0.31,"invalid",7,"exhale","correct",0.357175700017251
"P120",-0.31,"valid",8,"exhale","correct",0.383725599967875
"P120",-0.31,"invalid",9,"exhale","correct",0.477841199957766
"P120",0.31,"invalid",10,"exhale","correct",0.505244500003755
"P120",-0.31,"invalid",11,"exhale","correct",0.421090800024103
"P120",0.31,"valid",12,"exhale","correct",0.38308490003692
"P120",10,"catch",13,"exhale","correct",NA
"P120",-0.31,"invalid",14,"exhale","correct",0.437660499999765
"P120",-0.31,"valid",15,"exhale","correct",0.396193799970206
"P120",10,"catch",16,"exhale","correct",NA
"P120",10,"catch",17,"exhale","correct",NA
"P120",0.31,"invalid",18,"exhale","correct",0.611626499972772
"P120",10,"catch",19,"exhale","correct",NA
"P120",0.31,"invalid",20,"exhale","correct",0.407471499987878
"P120",-0.31,"valid",21,"exhale","correct",0.421727799985092
"P120",0.31,"valid",22,"exhale","correct",0.292249199992511
"P120",-0.31,"invalid",23,"exhale","correct",0.491987599991262
"P120",0.31,"valid",24,"exhale","correct",0.416411500016693
"P120",-0.31,"invalid",25,"exhale","correct",0.417574100021739
"P120",-0.31,"valid",26,"exhale","correct",0.40340249997098
"P120",0.31,"valid",27,"exhale","correct",0.418428800010588
"P120",10,"catch",28,"exhale","correct",NA
"P120",0.31,"valid",29,"exhale","correct",0.451558799948543
"P120",0.31,"valid",30,"exhale","correct",0.469787499983795
"P120",-0.31,"valid",31,"exhale","correct",0.508050900010858
"P120",0.31,"valid",32,"exhale","correct",0.359193100011908
"P120",-0.31,"invalid",33,"exhale","correct",0.408143899985589
"P120",10,"catch",34,"exhale","correct",NA
"P120",0.31,"valid",35,"exhale","correct",0.417274800012819
"P120",-0.31,"invalid",36,"exhale","correct",0.603959399973974
"P120",0.31,"invalid",37,"exhale","correct",0.681987099989783
"P120",0.31,"invalid",38,"exhale","correct",0.439639899996109
"P120",0.31,"valid",39,"exhale","correct",0.390933599963319
"P120",0.31,"invalid",40,"exhale","correct",0.454470500000753
"P120",10,"catch",41,"exhale","correct",NA
"P120",-0.31,"valid",42,"exhale","correct",0.51768740004627
"P120",10,"catch",43,"exhale","correct",NA
"P120",0.31,"invalid",44,"exhale","correct",0.477416999987327
"P120",0.31,"invalid",45,"exhale","correct",0.567125000001397
"P120",0.31,"valid",46,"exhale","correct",0.354942500009201
"P120",-0.31,"valid",47,"exhale","correct",0.369539799983613
"P120",-0.31,"invalid",48,"exhale","correct",0.341181399999186
"P120",10,"catch",49,"exhale","correct",NA
"P120",-0.31,"valid",50,"exhale","correct",0.466040899977088
"P120",-0.31,"valid",51,"exhale","correct",0.330344500020146
"P120",-0.31,"invalid",52,"exhale","correct",0.525458799966145
"P120",-0.31,"valid",53,"exhale","correct",0.407934800023213
"P120",10,"catch",54,"exhale","correct",NA
"P120",0.31,"invalid",55,"exhale","correct",0.449438599986024
"P120",-0.31,"valid",56,"exhale","correct",0.415447300008964
"P120",0.31,"valid",57,"exhale","correct",0.345337899983861
"P120",-0.31,"invalid",58,"exhale","correct",0.61547389999032
"P120",0.31,"invalid",59,"exhale","correct",0.525232600048184
"P120",10,"catch",0,"inhale","correct",NA
"P120",10,"catch",1,"inhale","correct",NA
"P120",0.31,"invalid",2,"inhale","correct",0.705747100000735
"P120",0.31,"invalid",3,"inhale","correct",0.394031900039408
"P120",-0.31,"valid",4,"inhale","correct",0.318654900009278
"P120",-0.31,"invalid",5,"inhale","correct",0.506858700013254
"P120",0.31,"valid",6,"inhale","correct",0.279676700010896
"P120",-0.31,"invalid",7,"inhale","correct",0.384497799968813
"P120",-0.31,"valid",8,"inhale","correct",0.356038499972783
"P120",-0.31,"invalid",9,"inhale","correct",0.432156900002155
"P120",0.31,"invalid",10,"inhale","correct",0.299184300005436
"P120",-0.31,"invalid",11,"inhale","correct",0.401619999960531
"P120",0.31,"valid",12,"inhale","correct",0.440326000039931
"P120",10,"catch",13,"inhale","incorrect",0.283071100013331
"P120",-0.31,"invalid",14,"inhale","correct",0.556032600055914
"P120",-0.31,"valid",15,"inhale","correct",0.576003599970136
"P120",10,"catch",16,"inhale","correct",NA
