"participant_ID","target_x","validity","trial","phase","response","rt"
"P132",10,"catch",0,"exhale","correct",NA
"P132",10,"catch",1,"exhale","correct",NA
"P132",0.31,"invalid",2,"exhale","correct",0.456381200114265
"P132",0.31,"invalid",3,"exhale","correct",0.413808299927041
"P132",-0.31,"valid",4,"exhale","correct",0.372262199874967
"P132",-0.31,"invalid",5,"exhale","correct",0.420573999872431
"P132",0.31,"valid",6,"exhale","correct",0.383752600057051
"P132",-0.31,"invalid",7,"exhale","correct",0.40675859991461
"P132",-0.31,"valid",8,"exhale","correct",0.44880190002732
"P132",-0.31,"invalid",9,"exhale","correct",0.446642899885774
"P132",0.31,"invalid",10,"exhale","correct",0.398452199995518
"P132",-0.31,"invalid",11,"exhale","correct",0.432107900036499
"P132",0.31,"valid",12,"exhale","correct",0.488029799889773
"P132",10,"catch",13,"exhale","correct",NA
"P132",-0.31,"invalid",14,"exhale","correct",0.408235699869692
"P132",-0.31,"valid",15,"exhale","correct",0.382370899897069
"P132",10,"catch",16,"exhale","correct",NA
"P132",10,"catch",17,"exhale","correct",NA
"P132",0.31,"invalid",18,"exhale","correct",0.404561999952421
"P132",10,"catch",19,"exhale","correct",NA
"P132",0.31,"invalid",20,"exhale","correct",0.473832000046968
"P132",-0.31,"valid",21,"exhale","correct",0.668084100121632
"P132",0.31,"valid",22,"exhale","correct",0.37901940010488
"P132",-0.31,"invalid",23,"exhale","correct",0.411657999968156
"P132",0.31,"valid",24,"exhale","correct",0.452632099855691
"P132",-0.31,"invalid",25,"exhale","correct",0.392274599988014
"P132",-0.31,"valid",26,"exhale","correct",0.392519599990919
"P132",0.31,"valid",27,"exhale","correct",0.527523800032213
"P132",10,"catch",28,"exhale","correct",NA
"P132",0.31,"valid",29,"exhale","correct",0.358470899984241
"P132",0.31,"valid",30,"exhale","correct",0.428298400016502
"P132",-0.31,"valid",31,"exhale","correct",0.340591100044549
"P132",0.31,"valid",32,"exhale","correct",0.438315800158307
"P132",-0.31,"invalid",33,"exhale","correct",0.717688799835742
"P132",10,"catch",34,"exhale","correct",NA
"P132",0.31,"valid",35,"exhale","correct",0.436968900030479
"P132",-0.31,"invalid",36,"exhale","correct",0.432712499983609
"P132",0.31,"invalid",37,"exhale","correct",0.468319700099528
"P132",0.31,"invalid",38,"exhale","correct",0.494886199943721
"P132",0.31,"valid",39,"exhale","correct",0.54207960003987
"P132",0.31,"invalid",40,"exhale","correct",0.457008900120854
"P132",10,"catch",41,"exhale","correct",NA
"P132",-0.31,"valid",42,"exhale","correct",0.447939899982885
"P132",10,"catch",43,"exhale","correct",NA
"P132",0.31,"invalid",44,"exhale","correct",0.519517900189385
"P132",0.31,"invalid",45,"exhale","correct",0.427977700019255
"P132",0.31,"valid",46,"exhale","correct",0.4006828002166
"P132",-0.31,"valid",47,"exhale","correct",0.49647229979746
"P132",-0.31,"invalid",48,"exhale","correct",0.417447400046512
"P132",10,"catch",49,"exhale","correct",NA
"P132",-0.31,"valid",50,"exhale","correct",0.408465000102296
"P132",-0.31,"valid",51,"exhale","correct",0.463821299839765
"P132",-0.31,"invalid",52,"exhale","correct",0.493833500193432
"P132",-0.31,"valid",53,"exhale","correct",0.364258900051937
"P132",10,"catch",54,"exhale","correct",NA
"P132",0.31,"invalid",55,"exhale","correct",0.450722899986431
"P132",-0.31,"valid",56,"exhale","correct",0.437520599924028
"P132",0.31,"valid",57,"exhale","correct",0.4493180999998
"P132",-0.31,"invalid",58,"exhale","correct",0.469345800112933
"P132",0.31,"invalid",59,"exhale","correct",0.530895800096914
"P132",10,"catch",0,"inhale","correct",NA
