"participant_ID","target_x","validity","trial","phase","response","rt"
"P127",10,"catch",0,"inhale","correct",NA
"P127",10,"catch",1,"inhale","correct",NA
"P127",0.31,"invalid",2,"inhale","correct",0.531108399969526
"P127",0.31,"invalid",3,"inhale","correct",0.481645299936645
"P127",-0.31,"valid",4,"inhale","correct",0.402668100083247
"P127",-0.31,"invalid",5,"inhale","correct",0.268975499900989
"P127",0.31,"valid",6,"inhale","correct",0.400361000094563
"P127",-0.31,"invalid",7,"inhale","correct",0.453977399971336
"P127",-0.31,"valid",8,"inhale","correct",0.363711499958299
"P127",-0.31,"invalid",9,"inhale","correct",0.307164600002579
"P127",0.31,"invalid",10,"inhale","correct",0.527740900055505
"P127",-0.31,"invalid",11,"inhale","correct",0.448163999943063
"P127",0.31,"valid",12,"inhale","correct",0.390053400071338
"P127",10,"catch",13,"inhale","correct",NA
"P127",-0.31,"invalid",14,"inhale","correct",0.477000800077803
"P127",-0.31,"valid",15,"inhale","correct",0.417877100058831
"P127",10,"catch",16,"inhale","correct",NA
"P127",10,"catch",17,"inhale","correct",NA
"P127",0.31,"invalid",18,"inhale","correct",0.536464400007389
"P127",10,"catch",19,"inhale","correct",NA
"P127",0.31,"invalid",20,"inhale","correct",0.477666699909605
"P127",-0.31,"valid",21,"inhale","correct",0.536127100000158
"P127",0.31,"valid",22,"inhale","correct",0.384583899984136
"P127",-0.31,"invalid",23,"inhale","correct",0.377433399902657
"P127",0.31,"valid",24,"inhale","correct",0.394570600008592
"P127",-0.31,"invalid",25,"inhale","correct",0.534597099991515
"P127",-0.31,"valid",26,"inhale","correct",0.376802299986593
"P127",0.31,"valid",27,"inhale","correct",0.36140059994068
"P127",10,"catch",28,"inhale","correct",NA
"P127",0.31,"valid",29,"inhale","correct",0.354061900055967
"P127",0.31,"valid",30,"inhale","correct",0.368757000076585
"P127",-0.31,"valid",31,"inhale","correct",0.389895700034685
"P127",0.31,"valid",32,"inhale","correct",0.393851000000723
"P127",-0.31,"invalid",33,"inhale","correct",0.3387901999522
"P127",10,"catch",34,"inhale","correct",NA
"P127",0.31,"valid",35,"inhale","correct",0.441316999960691
"P127",-0.31,"invalid",36,"inhale","correct",0.448902299976908
"P127",0.31,"invalid",37,"inhale","correct",0.581625899998471
"P127",0.31,"invalid",38,"inhale","correct",0.592508499976248
"P127",0.31,"valid",39,"inhale","correct",0.391918000066653
"P127",0.31,"invalid",40,"inhale","correct",0.533326900098473
"P127",10,"catch",41,"inhale","correct",NA
"P127",-0.31,"valid",42,"inhale","correct",0.603331199963577
"P127",10,"catch",43,"inhale","correct",NA
"P127",0.31,"invalid",44,"inhale","correct",0.461859399918467
"P127",0.31,"invalid",45,"inhale","correct",0.477867800043896
"P127",0.31,"valid",46,"inhale","correct",0.382312399917282
"P127",-0.31,"valid",47,"inhale","correct",0.397159999934956
"P127",-0.31,"invalid",48,"inhale","correct",0.334070599987172
"P127",10,"catch",49,"inhale","correct",NA
"P127",-0.31,"valid",50,"inhale","correct",0.425620599999093
"P127",-0.31,"valid",51,"inhale","correct",0.397394699975848
"P127",-0.31,"invalid",52,"inhale","correct",0.400642700027674
"P127",-0.31,"valid",53,"inhale","correct",0.367963499971665
"P127",10,"catch",54,"inhale","incorrect",0.357986700022593
"P127",0.31,"invalid",55,"inhale","correct",0.493297800072469
"P127",-0.31,"valid",56,"inhale","correct",0.466794900014065
"P127",0.31,"valid",57,"inhale","correct",0.396001999964938
"P127",-0.31,"invalid",58,"inhale","correct",0.438968200003728
"P127",0.31,"invalid",59,"inhale","correct",0.382113699917682
"P127",10,"catch",0,"exhale","correct",NA
"P127",10,"catch",1,"exhale","correct",NA
"P127",0.31,"invalid",2,"exhale","correct",0.517514600069262
"P127",0.31,"invalid",3,"exhale","correct",0.507191099924967
"P127",-0.31,"valid",4,"exhale","correct",0.531574600026943
"P127",-0.31,"invalid",5,"exhale","correct",0.389796600094996
"P127",0.31,"valid",6,"exhale","correct",0.361479599960148
"P127",-0.31,"invalid",7,"exhale","correct",0.392115999944508
"P127",-0.31,"valid",8,"exhale","correct",0.346071799984202
