"participant_ID","target_x","validity","trial","phase","response","rt"
"P117",10,"catch",0,"inhale","correct",NA
"P117",10,"catch",1,"inhale","correct",NA
"P117",0.31,"invalid",2,"inhale","correct",0.468558300024597
"P117",0.31,"invalid",3,"inhale","correct",0.530274099990493
"P117",-0.31,"valid",4,"inhale","correct",0.37122860000818
"P117",-0.31,"invalid",5,"inhale","correct",0.383181400015019
"P117",0.31,"valid",6,"inhale","correct",0.360593499994138
"P117",-0.31,"invalid",7,"inhale","correct",0.558794300013687
"P117",-0.31,"valid",8,"inhale","correct",0.401198800012935
"P117",-0.31,"invalid",9,"inhale","correct",0.398931900010211
"P117",0.31,"invalid",10,"inhale","correct",0.399792600015644
"P117",-0.31,"invalid",11,"inhale","correct",0.387991900002817
"P117",0.31,"valid",12,"inhale","correct",0.3595913000172
"P117",10,"catch",13,"inhale","incorrect",0.313204500009306
"P117",-0.31,"invalid",14,"inhale","correct",0.394703599973582
"P117",-0.31,"valid",15,"inhale","correct",0.389935599989258
"P117",10,"catch",16,"inhale","correct",NA
"P117",10,"catch",17,"inhale","correct",NA
"P117",0.31,"invalid",18,"inhale","correct",0.53667490000953
"P117",10,"catch",19,"inhale","correct",NA
"P117",0.31,"invalid",20,"inhale","correct",0.482499300007476
"P117",-0.31,"valid",21,"inhale","correct",0.507505499990657
"P117",0.31,"valid",22,"inhale","correct",0.469361299998127
"P117",-0.31,"invalid",23,"inhale","correct",0.427921099995729
"P117",0.31,"valid",24,"inhale","correct",0.358165499987081
"P117",-0.31,"invalid",25,"inhale","correct",0.477863199979765
"P117",-0.31,"valid",26,"inhale","correct",0.409482000017306
"P117",0.31,"valid",27,"inhale","correct",0.401791500014951
"P117",10,"catch",28,"inhale","correct",NA
"P117",0.31,"valid",29,"inhale","correct",0.394181400013622
"P117",0.31,"valid",30,"inhale","correct",0.461479099991266
"P117",-0.31,"valid",31,"inhale","correct",0.422161599999527
"P117",0.31,"valid",32,"inhale","correct",0.395863300014753
"P117",-0.31,"invalid",33,"inhale","correct",0.435718499997165
"P117",10,"catch",34,"inhale","correct",NA
"P117",0.31,"valid",35,"inhale","correct",0.423860599985346
"P117",-0.31,"invalid",36,"inhale","correct",0.45342529998743
"P117",0.31,"invalid",37,"inhale","correct",0.377925800014054
"P117",0.31,"invalid",38,"inhale","correct",0.482829899992794
"P117",0.31,"valid",39,"inhale","correct",0.467404199996963
"P117",0.31,"invalid",40,"inhale","correct",0.652065499976743
"P117",10,"catch",41,"inhale","correct",NA
"P117",-0.31,"valid",42,"inhale","correct",0.533663999987766
"P117",10,"catch",43,"inhale","correct",NA
"P117",0.31,"invalid",44,"inhale","correct",0.449835799983703
"P117",0.31,"invalid",45,"inhale","correct",0.409713400003966
"P117",0.31,"valid",46,"inhale","correct",0.34639680001419
"P117",-0.31,"valid",47,"inhale","correct",0.344498599995859
"P117",-0.31,"invalid",48,"inhale","correct",0.390755800006445
"P117",10,"catch",49,"inhale","correct",NA
"P117",-0.31,"valid",50,"inhale","correct",0.446620200003963
"P117",-0.31,"valid",51,"inhale","correct",0.447579600004246
"P117",-0.31,"invalid",52,"inhale","correct",0.420363300014287
"P117",-0.31,"valid",53,"inhale","correct",0.3746620999882
"P117",10,"catch",54,"inhale","correct",NA
"P117",0.31,"invalid",55,"inhale","correct",0.399309999978868
"P117",-0.31,"valid",56,"inhale","correct",0.440668099996401
"P117",0.31,"valid",57,"inhale","correct",0.340403299982427
"P117",-0.31,"invalid",58,"inhale","correct",0.361977599997772
"P117",0.31,"invalid",59,"inhale","correct",0.46544040000299
"P117",10,"catch",0,"exhale","correct",NA
"P117",10,"catch",1,"exhale","correct",NA
"P117",0.31,"invalid",2,"exhale","correct",0.426162200019462
"P117",0.31,"invalid",3,"exhale","correct",0.422819500003243
"P117",-0.31,"valid",4,"exhale","correct",0.40555499997572
"P117",-0.31,"invalid",5,"exhale","correct",0.44236610000371
"P117",0.31,"valid",6,"exhale","correct",0.470876499981387
"P117",-0.31,"invalid",7,"exhale","correct",0.437606999999844
"P117",-0.31,"valid",8,"exhale","correct",0.399611700006062
"P117",-0.31,"invalid",9,"exhale","correct",0.354737599991495
"P117",0.31,"invalid",10,"exhale","correct",0.417643299995689
"P117",-0.31,"invalid",11,"exhale","correct",0.409219699999085
"P117",0.31,"valid",12,"exhale","correct",0.434745499980636
"P117",10,"catch",13,"exhale","correct",NA
"P117",-0.31,"invalid",14,"exhale","correct",0.461184000014327
"P117",-0.31,"valid",15,"exhale","correct",0.634664499986684
"P117",10,"catch",16,"exhale","correct",NA
"P117",10,"catch",17,"exhale","correct",NA
"P117",0.31,"invalid",18,"exhale","correct",0.474337799998466
"P117",10,"catch",19,"exhale","correct",NA
"P117",0.31,"invalid",20,"exhale","correct",0.385924600006547
"P117",-0.31,"valid",21,"exhale","correct",0.419651900010649
"P117",0.31,"valid",22,"exhale","correct",0.344227900000988
"P117",-0.31,"invalid",23,"exhale","correct",0.459327099990332
"P117",0.31,"valid",24,"exhale","correct",0.440448599983938
"P117",-0.31,"invalid",25,"exhale","correct",0.395695199986221
"P117",-0.31,"valid",26,"exhale","correct",0.769583699991927
"P117",0.31,"valid",27,"exhale","correct",0.395121300010942
"P117",10,"catch",28,"exhale","correct",NA
"P117",0.31,"valid",29,"exhale","correct",0.498979200026952
"P117",0.31,"valid",30,"exhale","correct",0.518190500006313
"P117",-0.31,"valid",31,"exhale","correct",0.432444499980193
"P117",0.31,"valid",32,"exhale","correct",0.374300900002709
"P117",-0.31,"invalid",33,"exhale","correct",0.476926700008335
"P117",10,"catch",34,"exhale","correct",NA
