target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007506500000033611,0.02274649999998246,0.02274649999998246,2097.5204257,up,2097.4842281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.5204779,2097.5306599,2100.5253118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
0.005,0.31,0,0,0,up,4.572306300000037,None,space,0.4967735000000175,None,0,0,0,6,,,,,,,,,2100.5431499,,,,,,,,,,,,2100.5320778,2100.5431499,2100.5431499,2105.1211491999998,up,4.572306300000037,None,2105.1214107,2105.1371179,2105.1371179,2105.1371179,2105.4368087,2105.6372443,space,0.4967735000000175,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
0.31,0.005,1,1,0,down,3.5732203999996273,None,space,0.31628860000000714,None,0,1,1,1,,,,,,,,,2105.6531549,,,,,,,,,,,,2105.6373949,2105.6531549,2105.6531549,2109.233591,down,3.5732203999996273,None,2109.2338587,2109.2495267,2109.2495267,2109.2495267,2109.5493151,2109.5666209,space,0.31628860000000714,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
0.005,-0.31,2,2,0,up,3.6923975000004248,None,space,0.4627596000000267,None,0,2,2,5,,,,,,,,,2109.5827034999998,,,,,,,,,,,,2109.5667774,2109.5827034999998,2109.5827034999998,2113.2795880999997,up,3.6923975000004248,None,2113.2798293,2113.2953072,2113.2953072,2113.2953072,2113.5950148,2113.7624824,space,0.4627596000000267,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
0.31,0.005,3,3,0,down,3.8163658999997097,None,space,0.2570893000001888,None,0,3,3,3,,,,,,,,,2113.7783237,,,,,,,,,,,,2113.7626332,2113.7783237,2113.7783237,2117.608334,down,3.8163658999997097,None,2117.6085745,2117.6242397,2117.6242397,2117.6242397,,2117.891472,space,0.2570893000001888,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
-0.31,0.005,4,4,0,up,4.167740899999899,None,space,0.3459639000002426,None,0,4,4,0,,,,,,,,,2117.9074333,,,,,,,,,,,,2117.8916233,2117.9074333,2117.9074333,2122.0870098,up,4.167740899999899,None,2122.0872447,2122.1029554,2122.1029554,2122.1029554,2122.4026915,2122.4533978,space,0.3459639000002426,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
10,0.005,5,5,0,down,4.774087799999961,None,None,,,0,5,5,4,,,,,,,,,2122.4692346,,,,,,,,,,,,2122.4535544,2122.4692346,2122.4692346,2127.2486806,down,4.774087799999961,None,2127.2489175,2127.2644952,2127.2644952,2127.2644952,2127.5642761,2130.2614878,None,,,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
-0.31,0.005,6,6,0,up,2.468553400000019,None,space,0.3608361000001423,None,0,6,6,2,,,,,,,,,2130.2779337,,,,,,,,,,,,2130.2616335,2130.2779337,2130.2779337,2132.7595573,up,2.468553400000019,None,2132.7598059,2132.7754439,2132.7754439,2132.7754439,2133.0751477,2133.1426957,space,0.3608361000001423,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
0.005,0.31,7,7,0,down,3.6999964999999975,None,space,0.430040100000042,None,0,7,7,8,,,,,,,,,2133.1584702,,,,,,,,,,,,2133.1428533,2133.1584702,2133.1584702,2136.8720398,down,3.6999964999999975,None,2136.8722804,2136.8880926,2136.8880926,2136.8880926,2137.1876235,2137.3216713,space,0.430040100000042,None,,,,,,,,,,,,,,,,,,P103,001,2024-11-15_08h29.57.384,posner_endo_new1,2024.2.4,60.01777726563169,2024-11-15 08h30.17.711096 +0000,
