target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,key_resp.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007556700000009187,0.027601200000020754,0.027601200000020754,4540.8385235,up,4540.7885289999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4540.8385946,4540.8489082,4543.8438317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
10,0.005,0,0,0,down,12.048211000000265,None,None,,,0,0,0,4,,,,,,,,,4543.8634785,,,,,,,,,,,,4543.8543534,4543.8634785,4543.8634785,4555.9153544,down,12.048211000000265,None,4555.9156334,4555.9311450000005,4555.9311450000005,4555.9311450000005,4556.2309244,4556.9301246,4558.9283785,None,,,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
-0.31,0.005,1,1,0,up,0.9666833000001134,None,space,0.32435940000050323,None,0,1,1,0,,,,,,,,,4558.9449842,,,,,,,,,,,,4558.9285331,4558.9449842,4558.9449842,4559.9278744,up,0.9666833000001134,None,4559.928114,4559.9438458,4559.9438458,4559.9438458,4560.2436162,,4560.2773017,space,0.32435940000050323,None,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
0.31,0.005,2,2,0,down,2.5384893000000375,None,None,,,0,2,2,1,,,,,,,,,4560.2935359,,,,,,,,,,,,4560.2774517,4560.2935359,4560.2935359,4562.8415627,down,2.5384893000000375,None,4562.8417959,4562.8573011,4562.8573011,4562.8573011,4563.1572179,4563.8565586,4565.8545838,None,,,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
0.31,0.005,3,3,0,up,1.713523599999462,None,space,0.39531199999964883,None,0,3,3,3,,,,,,,,,4565.8711490000005,,,,,,,,,,,,4565.8547293,4565.8711490000005,4565.8711490000005,4567.5868219,up,1.713523599999462,None,4567.5870587,4567.6026805,4567.6026805,4567.6026805,4567.9023596,,4568.0029853,space,0.39531199999964883,None,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
0.005,-0.31,4,4,0,down,3.396563799999967,None,space,0.36885110000002896,None,0,4,4,7,,,,,,,,,4568.0189733,,,,,,,,,,,,4568.0031349,4568.0189733,4568.0189733,4571.416382,down,3.396563799999967,None,4571.4166196,4571.4318317,4571.4318317,4571.4318317,4571.73145,,4571.8156627,space,0.36885110000002896,None,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
0.005,-0.31,5,5,0,up,8.351930599999832,None,space,0.3355268999994223,None,0,5,5,5,,,,,,,,,4571.8318476,,,,,,,,,,,,4571.8158347,4571.8318476,4571.8318476,4580.1904117,up,8.351930599999832,None,4580.1906562,4580.2064388,4580.2064388,4580.2064388,4580.5060108,,4580.5566964,space,0.3355268999994223,None,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
-0.31,0.005,6,6,0,down,4.131352700000207,None,space,0.7900752999994438,None,0,6,6,2,,,,,,,,,4580.5727427,,,,,,,,,,,,4580.5568487,4580.5727427,4580.5727427,4584.7189482,down,4.131352700000207,None,4584.719195,4584.7350913,4584.7350913,4584.7350913,4585.0348556,,4585.5350737,space,0.7900752999994438,None,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
0.005,10,7,7,0,up,16.513276399999995,None,None,,,0,7,7,9,,,,,,,,,4585.5509645,,,,,,,,,,,,4585.5352279,4585.5509645,4585.5509645,4602.0681951,up,16.513276399999995,None,4602.0684381,4602.084075,4602.084075,4602.084075,4602.3836954,4603.0997828,4605.0811536,None,,,,,,,,,,,,,,,,,,,,P124,001,2024-11-21_07h47.59.581,posner_endo_new1,2024.2.4,59.97220887840568,2024-11-21 07h48.11.116548 +0000,
