target_y,target_x,thisN,thisTrialN,thisRepN,key_control2.keys,key_control2.rt,key_control2.duration,key_resp.keys,key_resp.rt,key_resp.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,session_1.thisRepN,session_1.thisTrialN,session_1.thisN,session_1.thisIndex,session_2.thisRepN,session_2.thisTrialN,session_2.thisN,session_2.thisIndex,thisRow.t,notes,instructions.started,instructions_txt.started,key_control.started,instructions.stopped,key_control.keys,key_control.rt,key_control.duration,ready.started,ready_txt.started,ready.stopped,fix.started,key_control2.started,fixation_cross.started,fix.stopped,practice.key_control2.keys,practice.key_control2.rt,practice.key_control2.duration,target.started,star.started,fixation_cross_target.started,key_resp.started,star.stopped,key_resp.stopped,target.stopped,practice.key_resp.keys,practice.key_resp.rt,practice.key_resp.duration,session_1.key_control2.keys,session_1.key_control2.rt,session_1.key_control2.duration,session_1.key_resp.keys,session_1.key_resp.rt,session_1.key_resp.duration,break_2.started,text.started,key_control3.started,break_2.stopped,key_control3.keys,session_2.key_control2.keys,session_2.key_control2.rt,session_2.key_control2.duration,session_2.key_resp.keys,session_2.key_resp.rt,session_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.007390599999780534,0.021541600001000916,0.021541600001000916,2640.0356764000007,up,2640.0073493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.035729200001,2640.0489562000002,2643.0454864000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
10,0.005,0,0,0,down,15.060056900001655,None,None,,,0,0,0,4,,,,,,,,,2643.0649054999994,,,,,,,,,,,,2643.052526900001,2643.0649054999994,2643.0649054999994,2658.1308243000003,down,15.060056900001655,None,2658.1311086000005,2658.1468674000007,2658.1468674000007,2658.1468674000007,2658.446522,2659.1457926000003,2661.1439367000003,None,,,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.31,0.005,1,1,0,up,0.005076800000097137,None,space,0.5460990000010497,None,0,1,1,1,,,,,,,,,2661.1602497000003,,,,,,,,,,,,2661.1440953,2661.1602497000003,2661.1602497000003,2661.1776773,up,0.005076800000097137,None,2661.1779243,2661.193694400001,2661.193694400001,2661.193694400001,2661.493365800001,,2661.7438918000007,space,0.5460990000010497,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.31,0.005,2,2,0,down,2.206076899999971,None,space,0.4383632999997644,None,0,2,2,3,,,,,,,,,2661.7597007000004,,,,,,,,,,,,2661.7440528000006,2661.7597007000004,2661.7597007000004,2663.9749279999996,down,2.206076899999971,None,2663.9751789,2663.991165700001,2663.991165700001,2663.991165700001,2664.2904185000007,,2664.4410270000008,space,0.4383632999997644,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,3,3,0,up,1.7159991999997146,None,space,0.3800654000006034,None,0,3,3,0,,,,,,,,,2664.456988400001,,,,,,,,,,,,2664.4411868999996,2664.456988400001,2664.456988400001,2666.1892743000008,up,1.7159991999997146,None,2666.189528500001,2666.205146100001,2666.205146100001,2666.205146100001,2666.5048399999996,,2666.5890455999997,space,0.3800654000006034,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,4,4,0,down,1.8084273000004032,None,space,0.30628579999938665,None,0,4,4,5,,,,,,,,,2666.6047951,,,,,,,,,,,,2666.5892163000008,2666.6047951,2666.6047951,2668.4203099000006,down,1.8084273000004032,None,2668.420559600001,2668.4362239,2668.4362239,2668.4362239,2668.7359562,,2668.7533581000007,space,0.30628579999938665,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,5,5,0,up,1.9718751000000339,None,space,0.4296961999989435,None,0,5,5,8,,,,,,,,,2668.7693053000003,,,,,,,,,,,,2668.7535152,2668.7693053000003,2668.7693053000003,2670.7513137000005,up,1.9718751000000339,None,2670.751563400001,2670.7671701,2670.7671701,2670.7671701,2671.0669457000004,,2671.201086000001,space,0.4296961999989435,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,10,6,6,0,down,2.3403956000001926,None,None,,,0,6,6,9,,,,,,,,,2671.2167260000006,,,,,,,,,,,,2671.2012445,2671.2167260000006,2671.2167260000006,2673.565232000001,down,2.3403956000001926,None,2673.5654806000002,2673.5808720000005,2673.5808720000005,2673.5808720000005,2673.880655000001,2674.5799716,2676.577938300001,None,,,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,7,7,0,up,0.8032541000011406,None,space,0.42778139999973064,None,0,7,7,7,,,,,,,,,2676.5944901000003,,,,,,,,,,,,2676.5780964999994,2676.5944901000003,2676.5944901000003,2677.4111345,up,0.8032541000011406,None,2677.4113835000007,2677.427114100001,2677.427114100001,2677.427114100001,2677.726736800001,,2677.8606653999996,space,0.42778139999973064,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,8,8,0,down,2.152595100000326,None,space,0.37596900000062305,None,0,8,8,6,,,,,,,,,2677.8764713,,,,,,,,,,,,2677.8608234000003,2677.8764713,2677.8764713,2680.041750100001,down,2.152595100000326,None,2680.0420013000003,2680.0577150999998,2680.0577150999998,2680.0577150999998,2680.3572671,,2680.4415898000007,space,0.37596900000062305,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,9,9,0,up,1.9559571999998298,None,space,0.3111038000006374,None,0,9,9,2,,,,,,,,,2680.4571515999996,,,,,,,,,,,,2680.4417563999996,2680.4571515999996,2680.4571515999996,2682.4228065999996,up,1.9559571999998298,None,2682.4230568000003,2682.4383872,2682.4383872,2682.4383872,2682.738231000001,,2682.7557196,space,0.3111038000006374,None,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682.7558288,2682.771651700001,2685.7685820000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,0,0,0,down,17.322805800000424,None,space,0.49959080000007816,None,,,,,0,0,0,0,,,,,2685.7876517000004,,,,,,,,,,,,2685.7770339,2685.7876517000004,2685.7876517000004,2703.1181307000006,,,,2703.118395700001,2703.133993700001,2703.133993700001,2703.133993700001,2703.4337065,,2703.6344788000006,,,,down,17.322805800000424,None,space,0.49959080000007816,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,1,1,0,up,2.0430670000005193,None,space,0.38184259999979986,None,,,,,0,1,1,1,,,,,2703.650147600001,,,,,,,,,,,,2703.6346538,2703.650147600001,2703.650147600001,2705.6990055999995,,,,2705.6992689,2705.714862500001,2705.714862500001,2705.714862500001,2706.0142687999996,,2706.0986030000004,,,,up,2.0430670000005193,None,space,0.38184259999979986,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.31,0.005,2,2,0,down,1.747453800000585,None,space,0.33129530000041996,None,,,,,0,2,2,2,,,,,2706.1142483000003,,,,,,,,,,,,2706.0987717999997,2706.1142483000003,2706.1142483000003,2707.8634215,,,,2707.863676000001,2707.8792195999995,2707.8792195999995,2707.8792195999995,2708.178800900001,,2708.2129490999996,,,,down,1.747453800000585,None,space,0.33129530000041996,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.31,0.005,3,3,0,up,1.9040820999998687,None,space,0.364985300000626,None,,,,,0,3,3,3,,,,,2708.2287218,,,,,,,,,,,,2708.213117200001,2708.2287218,2708.2287218,2710.1442382000005,,,,2710.1444899,2710.1602378999996,2710.1602378999996,2710.1602378999996,2710.4599734000003,,2710.527434400001,,,,up,1.9040820999998687,None,space,0.364985300000626,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,4,4,0,down,2.334237999999459,None,space,0.2665037000006123,None,,,,,0,4,4,4,,,,,2710.5431633999997,,,,,,,,,,,,2710.527601400001,2710.5431633999997,2710.5431633999997,2712.8915971000006,,,,2712.891848200001,2712.907292,2712.907292,2712.907292,,,2713.1746975999995,,,,down,2.334237999999459,None,space,0.2665037000006123,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,5,5,0,up,2.3193389999996725,None,space,0.2870849000009912,None,,,,,0,5,5,5,,,,,2713.190353400001,,,,,,,,,,,,2713.1748750000006,2713.190353400001,2713.190353400001,2715.5221779000003,,,,2715.5224294,2715.5380669000006,2715.5380669000006,2715.5380669000006,2715.8376534,,2715.838492500001,,,,up,2.3193389999996725,None,space,0.2870849000009912,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,6,6,0,down,2.158242800000153,None,space,0.3181912999989436,None,,,,,0,6,6,6,,,,,2715.8544523,,,,,,,,,,,,2715.8386567,2715.8544523,2715.8544523,2718.0194205000007,,,,2718.0196811000005,2718.035412700001,2718.035412700001,2718.035412700001,2718.3350434000004,,2718.369227000001,,,,down,2.158242800000153,None,space,0.3181912999989436,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
10,0.005,7,7,0,up,2.2685209999999643,None,None,,,,,,,0,7,7,7,,,,,2718.3849472,,,,,,,,,,,,2718.3693937000007,2718.3849472,2718.3849472,2720.6669249000006,,,,2720.667174600001,2720.6827410999995,2720.6827410999995,2720.6827410999995,2720.982464500001,2721.6816473,2723.679777200001,,,,up,2.2685209999999643,None,None,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,8,8,0,up,2.74109000000135,None,space,0.3476410000002943,None,,,,,0,8,8,8,,,,,2723.696209400001,,,,,,,,,,,,2723.6799427999995,2723.696209400001,2723.696209400001,2726.444124400001,,,,2726.444377400001,2726.4601963000005,2726.4601963000005,2726.4601963000005,2726.7597074999994,,2726.8106391,,,,up,2.74109000000135,None,space,0.3476410000002943,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,9,9,0,down,2.226687899999888,None,space,0.3719048000002658,None,,,,,0,9,9,9,,,,,2726.8264538000003,,,,,,,,,,,,2726.8108138999996,2726.8264538000003,2726.8264538000003,2729.0582145000008,,,,2729.0584686,2729.0741753,2729.0741753,2729.0741753,2729.3737112,,2729.4578664,,,,down,2.226687899999888,None,space,0.3719048000002658,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,10,10,0,up,2.059974300000249,None,space,0.281789700000445,None,,,,,0,10,10,10,,,,,2729.4736603,,,,,,,,,,,,2729.458039000001,2729.4736603,2729.4736603,2731.5391493999996,,,,2731.5394072,2731.5550427,2731.5550427,2731.5550427,2731.854591000001,,2731.839057500001,,,,up,2.059974300000249,None,space,0.281789700000445,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,11,11,0,down,2.9829297000014776,None,space,0.365542400000777,None,,,,,0,11,11,11,,,,,2731.854591000001,,,,,,,,,,,,2731.839224700001,2731.854591000001,2731.854591000001,2734.8522618999996,,,,2734.8525147,2734.8681882,2734.8681882,2734.8681882,2735.167937,,2735.2354539000007,,,,down,2.9829297000014776,None,space,0.365542400000777,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
10,0.005,12,12,0,up,2.570453300000736,None,None,,,,,,,0,12,12,12,,,,,2735.2511234000012,,,,,,,,,,,,2735.235626900001,2735.2511234000012,2735.2511234000012,2737.832549300001,,,,2737.8327981,2737.848360600001,2737.848360600001,2737.848360600001,2738.1482123000005,2738.847393,2740.8456172999995,,,,up,2.570453300000736,None,None,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.31,0.005,13,13,0,up,3.079356900001585,None,space,0.4327739999989717,None,,,,,0,13,13,13,,,,,2740.8621573,,,,,,,,,,,,2740.8457784,2740.8621573,2740.8621573,2743.9431117000004,,,,2743.943361900001,2743.9588339,2743.9588339,2743.9588339,2744.2586025,,2744.392721,,,,up,3.079356900001585,None,space,0.4327739999989717,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
10,0.005,14,14,0,down,2.844631500000105,None,None,,,,,,,0,14,14,14,,,,,2744.4083893000006,,,,,,,,,,,,2744.3928865,2744.4083893000006,2744.4083893000006,2747.2563434000003,,,,2747.256595300001,2747.2721911999997,2747.2721911999997,2747.2721911999997,2747.571952800001,2748.287780800001,2750.2691851,,,,down,2.844631500000105,None,None,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,15,15,0,down,3.367107300000498,None,space,0.48678189999918686,None,,,,,0,15,15,15,,,,,2750.2858128999997,,,,,,,,,,,,2750.2693471000002,2750.2858128999997,2750.2858128999997,2753.666482800001,,,,2753.6667323,2753.682273300001,2753.682273300001,2753.682273300001,2753.9818799000004,,2754.182472300001,,,,down,3.367107300000498,None,space,0.48678189999918686,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,16,16,0,up,1.9264800000000832,None,space,0.32661650000045483,None,,,,,0,16,16,16,,,,,2754.198444400001,,,,,,,,,,,,2754.1826382,2754.198444400001,2754.198444400001,2756.1305138999996,,,,2756.1307653000003,2756.1464026000012,2756.1464026000012,2756.1464026000012,2756.4460595,,2756.4803955999996,,,,up,1.9264800000000832,None,space,0.32661650000045483,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,17,17,0,down,2.629299899999751,None,space,0.3656833999993978,None,,,,,0,17,17,17,,,,,2756.4961244000006,,,,,,,,,,,,2756.4805632000007,2756.4961244000006,2756.4961244000006,2759.127526800001,,,,2759.1277787,2759.1433455000006,2759.1433455000006,2759.1433455000006,2759.4429665999996,,2759.5105384,,,,down,2.629299899999751,None,space,0.3656833999993978,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
-0.31,0.005,18,18,0,up,2.4067195000006905,None,space,0.5022539000001416,None,,,,,0,18,18,18,,,,,2759.5263708,,,,,,,,,,,,2759.510708,2759.5263708,2759.5263708,2761.9412083999996,,,,2761.941459400001,2761.957200500001,2761.957200500001,2761.957200500001,2762.256807400001,,2762.4740469000008,,,,up,2.4067195000006905,None,space,0.5022539000001416,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
10,0.005,19,19,0,down,2.5312830000002577,None,None,,,,,,,0,19,19,19,,,,,2762.4902094999998,,,,,,,,,,,,2762.4742191000005,2762.4902094999998,2762.4902094999998,2765.0380693000006,,,,2765.0383205,2765.0538615999994,2765.0538615999994,2765.0538615999994,2765.3536538999997,2766.0528739,2768.0510128000005,,,,down,2.5312830000002577,None,None,,,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,20,20,0,up,0.4817161999999371,None,space,0.39416460000029474,None,,,,,0,20,20,20,,,,,2768.0675522,,,,,,,,,,,,2768.0511773,2768.0675522,2768.0675522,2768.551384800001,,,,2768.5516351999995,2768.5671311999995,2768.5671311999995,2768.5671311999995,2768.8666587000007,,2768.9675334000003,,,,up,0.4817161999999371,None,space,0.39416460000029474,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,-0.31,21,21,0,down,2.718013100000462,None,space,0.40531579999878886,None,,,,,0,21,21,21,,,,,2768.983769100001,,,,,,,,,,,,2768.9677018,2768.983769100001,2768.983769100001,2771.714773900001,,,,2771.715022800001,2771.7304213999996,2771.7304213999996,2771.7304213999996,2772.030181100001,,2772.1474947999995,,,,down,2.718013100000462,None,space,0.40531579999878886,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.005,0.31,22,22,0,up,2.330046900000525,None,space,0.36151760000029753,None,,,,,0,22,22,22,,,,,2772.1634973,,,,,,,,,,,,2772.1476619000005,2772.1634973,2772.1634973,2774.4952864000006,,,,2774.4955412,2774.5108705000002,2774.5108705000002,2774.5108705000002,2774.8106676999996,,2774.878102300001,,,,up,2.330046900000525,None,space,0.36151760000029753,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
0.31,0.005,23,23,0,down,2.8795254999986355,None,space,0.3181867000002967,None,,,,,0,23,23,23,,,,,2774.8940105,,,,,,,,,,,,2774.8782705000012,2774.8940105,2774.8940105,2777.775342500001,,,,2777.7756022000012,2777.7909450999996,2777.7909450999996,2777.7909450999996,2778.0905998,,2778.1246537000006,,,,down,2.8795254999986355,None,space,0.3181867000002967,None,,,,,,,,,,,,P126,001,2024-11-21_10h25.46.650,posner_endo_new1,2024.2.4,60.124192532623944,2024-11-21 10h25.54.089071 +0000,
