contrast,position,estimate,SE,df,t.ratio,p.value
exhale - inhale,left,0.006633107518256572,0.0048466707690755974,52,1.3685904890795173,0.17701122234723682
exhale - inhale,right,-0.006229358208694871,0.006464113432352797,52,-0.9636833069043963,0.33966502176808866
