contrast,position,estimate,SE,df,t.ratio,p.value
inhale - exhale,up,-0.015658185962698357,0.004955964728761475,52,-3.159462752393605,0.0026337158892156924
inhale - exhale,down,-0.01496710744241353,0.006057395933792426,52,-2.4708814820765554,0.016792603181868496
