contrast,orientation,estimate,SE,df,t.ratio,p.value
valid - invalid,horizontal,-0.012631350708246947,0.002515032213502745,52,-5.022341519298063,6.369143026882505e-6
valid - invalid,vertical,-0.0063701380528310425,0.001932147799541635,52,-3.2969206881286386,0.0017664007931849164
