contrast,position,estimate,SE,df,t.ratio,p.value
inhale - exhale,up,-0.013016311724768581,0.004895502204190533,52,-2.658830735205606,0.010396642453544604
inhale - exhale,down,-0.014592836618558702,0.00486092793876367,52,-3.002068082965708,0.004113813394028432
