contrast,estimate,SE,df,t.ratio,p.value
horizontal valid - vertical valid,-0.005126713154234408,0.004150750363984797,52,-1.235129242827475,1
horizontal valid - horizontal invalid,-0.012631350708246947,0.002515032213502745,52,-5.022341519298063,3.821485816129503e-5
horizontal valid - vertical invalid,-0.01149685120706545,0.003953951080052931,52,-2.9076867604825156,0.032053697674070965
vertical valid - horizontal invalid,-0.007504637554012539,0.004598469451647731,52,-1.631985953788051,0.6523471096861371
vertical valid - vertical invalid,-0.0063701380528310425,0.001932147799541635,52,-3.2969206881286386,0.010598404759109498
horizontal invalid - vertical invalid,0.0011344995011814962,0.00383556329201095,52,0.29578432548474226,1
