contrast,phase,estimate,SE,df,t.ratio,p.value
left - right,inhale,-0.021875912209400605,0.00447974852778654,52,-4.883290227947142,1.0345984871244642e-5
left - right,exhale,-0.013967594191982458,0.005099490898722536,52,-2.739017378280144,0.008420761971668975
