contrast,phase,estimate,SE,df,t.ratio,p.value
left - right,exhale,-0.021914390340086385,0.006931354421962964,52,-3.1616317686262847,0.002617353166927499
left - right,inhale,-0.03477685606703783,0.005358375360147301,52,-6.490186619938812,3.214102686495962e-8
