contrast,position,estimate,SE,df,t.ratio,p.value
inhale - exhale,left,-0.011611372730328196,0.004423157232730019,52,-2.625132257204778,0.011347167502918528
inhale - exhale,right,-0.010146236886565296,0.0038973939499185256,52,-2.6033387994501815,0.012003482386638537
