contrast,position,estimate,SE,df,t.ratio,p.value
inhale - exhale,left,-0.014927926489456456,0.005688700253199233,52,-2.6241365909657888,0.011376422929619066
inhale - exhale,right,-0.007019608472038308,0.004695568584529994,52,-1.4949432311914448,0.14097360703649156
