contrast,phase,estimate,SE,df,t.ratio,p.value
left - right,inhale,-0.004475534865701958,0.0030754029590060556,52,-1.4552677894113795,0.15160587772423012
left - right,exhale,-0.0030103990219390586,0.0030475942225791234,52,-0.9877952253733481,0.3278271085953819
