contrast,validity,estimate,SE,df,t.ratio,p.value
horizontal - vertical,valid,-0.005126713154234408,0.004150750363984797,52,-1.235129242827475,0.22233408643877492
horizontal - vertical,invalid,0.0011344995011814962,0.00383556329201095,52,0.29578432548474226,0.7685727727715337
