contrast,position,estimate,SE,df,t.ratio,p.value
exhale - inhale,down,6.943966740437487e-4,0.006304440057746815,52,0.11014406793994068,0.9127191155999614
exhale - inhale,up,0.005308795745784526,0.005219933321364133,52,1.0170236704091022,0.3138509105807979
